numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
4,8.73596,11,3,30,52,7,4,2,21,15,1.02,4,1.05,1,1.02,9.18,4,127,4,1.03,1
3,7.99162,14,5,44,0,9,1,1,36,26,1.04,5,2.13,2,1.04,1.01,4,8,9,2.06,1
4,8.89835,12,1,34,61,2,4,1,1,3,1.01,2,2.03,6,1.01,10.15,4,45,1,1.2,1
35,30.8847,253,22,787,414,21,6,10,210,277,4.04,32,18.65,5,6.07,4.05,40,94,21,24.14,0
2,2.80457,10,0,28,405,5,3,1,10,13,2.02,1,2.08,1,2.02,9.44,2,73,0,2.15,1
41,24.4246,269,17,708,380,11,2,8,55,172,2.02,24,10.84,8,5.06,2.02,48,27,5,17.09,0
18,20.393,59,10,230,0,9,1,2,36,45,3.05,12,9.37,13,3.05,1.01,20,9,6,14.69,0
2,1.47165,55,12,246,0,8,1,2,28,53,0,14,0,4,0,0,2,8,0,1.02,1
8,12.482,52,6,199,3,12,2,20,66,45,0,25,4.12,6,2.02,0,9,10,9,6.44,0
6,7.52192,15,7,58,3,5,2,4,10,28,1.05,10,1.2,3,2.06,2.1,6,10,5,2.34,0
1,7.18983,18,3,72,385,6,6,0,15,16,1.01,3,0,1,2.02,5.06,1,79,5,0,1
13,17.658,65,6,240,61,9,4,3,36,53,2.02,9,3.05,8,3.03,10.15,16,45,5,11.45,0
4,11.8043,56,6,193,9,24,5,11,276,54,2.03,17,4.11,10,4.05,4.07,7,42,20,4.5,1
7,11.2897,44,5,124,68,9,2,1,36,30,1.04,5,1.04,1,1.04,4.04,8,33,5,1.21,1
8,9.64599,27,6,110,95,16,3,1,120,59,0,6,0,7,0,3.05,9,73,6,0,1
8,7.95479,33,3,127,95,20,3,4,190,63,0,7,0,7,6.07,2.02,10,82,7,0,1
2,8.22982,17,3,52,0,10,1,1,45,34,0,4,1.01,1,1.11,1.01,3,17,10,1.01,1
10,17.3206,58,13,253,412,8,5,1,28,73,1.01,14,4.04,2,1.01,5.06,10,94,8,2.02,1
2,9.22461,19,4,56,0,6,1,4,15,16,0,7,1.03,3,0,1.01,2,8,6,1.09,1
38,26.5196,148,31,909,12,38,2,7,703,331,6.06,36,13.99,27,8.09,2.03,48,36,24,17.81,0
10,11.17,9,2,39,380,3,3,0,3,13,0,2,2.06,4,0,2.02,10,38,3,2.1,1
5,8.12682,7,1,28,0,7,1,4,21,12,1.01,5,2.07,3,2.02,0,5,8,5,2.1,1
39,30.0415,276,20,1117,0,32,1,2,496,294,3.07,20,9.64,28,3.07,1.01,40,8,0,14.97,1
0,1.10349,1,0,4,0,1,1,1,0,1,0,1,0,2,0,0,0,8,1,0,1
7,14.8353,21,8,83,18,4,2,1,6,48,2.02,8,3.07,1,2.02,4.04,9,62,2,3.12,1
1,0,39,5,136,10,7,2,1,21,32,0,6,0,1,0,0,1,15,1,0,1
1,4.23122,20,2,127,0,8,2,1,28,24,0,3,0,8,0,1.01,1,25,7,1.08,1
5,10.9152,37,7,115,56,10,5,10,45,22,0,17,0,5,1.01,25.5,5,197,10,0,0
37,30.6378,87,23,241,396,8,4,17,28,105,7.08,38,11.25,4,10.1,3.03,41,57,8,14.65,1
9,11.4275,41,5,166,95,15,3,1,105,76,0,6,1.02,3,0,3.05,10,73,5,1.06,0
2,1.29357,11,4,44,70,8,8,2,28,19,0,5,1.01,4,0,0,2,260,7,1.1,1
2,5.43024,34,5,107,5,11,3,1,55,21,2.03,6,1.03,6,3.04,3.05,2,40,11,1.47,1
2,6.03322,50,4,121,58,10,2,3,45,51,0,6,0,4,0,0,4,24,1,1.01,1
7,15.9456,37,9,155,18,10,2,1,45,77,4.06,10,5.54,5,6.08,5.08,9,18,10,8.02,0
55,35.3663,273,11,773,28,57,2,126,1596,197,3.06,128,21.91,12,23.27,2.02,56,16,54,31.02,0
15,14.1223,342,6,1440,8,38,2,19,703,84,1.01,24,6.42,12,3.04,4.16,15,46,37,21.51,1
4,5.59671,23,4,87,96,13,4,2,78,46,0,6,0,4,1.01,4.06,5,88,3,0,1
13,17.0375,15,11,63,0,6,1,1,15,25,1.01,12,1.02,2,6.08,1.01,15,8,6,2.08,1
3,4.4156,8,4,29,70,6,5,1,15,14,1.01,5,2.03,1,1.01,8.13,4,264,5,1.04,1
5,13.0232,24,7,128,15,6,1,0,15,31,2.03,7,4.1,13,2.03,1.01,6,8,4,3.18,0
0,4.07501,1,0,3,2,1,2,1,0,1,0,1,0,0,0,3.08,0,33,1,0,1
11,14.4323,51,18,242,0,11,1,5,55,89,2.02,22,5.06,5,2.02,2.02,12,8,3,4.53,1
0,5.07933,14,0,42,0,14,1,0,91,14,0,0,0,0,0,1.01,0,22,14,0,1
4,7.6133,23,7,81,400,9,5,5,36,32,1.01,12,1.02,4,1.01,4.04,4,65,9,1.09,1
8,11.4729,52,15,216,3,6,2,1,15,57,2.05,16,3.18,2,2.06,2.05,8,12,3,3.74,1
12,9.64335,54,7,208,95,24,3,2,276,104,1.01,8,1.04,14,2.02,3.05,14,73,12,1.06,1
7,12.6921,49,11,177,34,10,3,17,45,41,3.05,25,5.17,9,7.09,4.04,8,24,9,7.9,1
8,14.4405,140,18,551,426,13,7,1,78,226,3.03,19,2.05,2,3.03,7.17,9,124,13,2.08,0
21,23.6077,84,19,451,380,6,3,0,15,172,3.03,19,10.38,21,3.03,2.02,24,38,6,11.86,0
3,7.42989,10,2,28,34,4,5,1,6,13,1.01,3,2.03,0,1.01,4.04,3,87,1,2.07,1
4,7.54777,22,7,89,50,16,4,1,120,45,1.01,8,2.04,2,1.01,1.04,4,174,7,0,1
4,9.13341,38,7,142,384,6,4,1,15,44,1.01,8,1.01,3,1.01,5.06,5,69,6,2.09,1
71,29.6783,426,7,1399,78,42,1,6,861,329,1.01,13,11.52,58,4.05,1.01,81,8,1,22.75,0
15,11.0206,22,8,126,0,8,1,7,28,56,1.01,15,4.09,6,4.04,1.01,19,11,7,5.21,1
1,0,2,0,7,55,2,5,5,1,3,0,5,0,1,0,0,1,139,2,0,1
4,7.96737,125,11,482,7,53,2,11,1378,194,0,21,1.11,24,1.03,1.02,4,35,21,0,1
1,9.12702,4,1,18,0,3,1,1,3,8,0,2,0,4,0,1.01,1,8,3,1.01,1
1,4.07501,4,0,12,0,5,1,2,10,5,0,2,0,0,0,1.01,1,8,5,0,1
1,4.07501,1,0,3,4,2,4,1,1,2,0,1,0,0,1.01,2.04,1,21,0,0,1
2,11.296,13,5,48,49,7,4,18,21,23,1.04,23,3.19,2,8.24,24.4,2,148,7,3.39,1
4,9.07976,15,5,59,394,3,6,1,3,24,1.01,6,3.08,0,1.01,5.06,4,102,3,3.25,1
1,5.34312,7,3,21,28,5,2,5,10,12,0,8,0,4,1.01,2.02,1,16,5,0,1
1,5.18073,32,3,88,0,6,1,1,15,17,0,4,1.01,3,1.01,1.01,1,8,6,1.08,1
31,30.738,166,17,494,384,17,4,5,136,191,5.05,22,15.48,13,6.06,5.06,37,77,17,21.39,0
8,13.7363,265,13,1585,0,215,1,0,23005,1156,3.04,13,7,17,3.04,1.01,9,212,205,7.5,0
1,6.20089,6,3,25,397,4,5,1,6,17,1.01,4,1.04,2,1.01,3.03,2,64,4,1.03,1
4,7.56137,6,2,18,0,10,1,4,45,13,0,6,1.01,0,0,1.01,5,8,8,0,1
0,6.61333,2,0,7,386,2,7,0,1,2,0,0,0,2,0,5.06,0,86,2,0,1
5,11.7816,75,14,336,423,7,6,1,21,132,3.04,15,4.09,2,3.04,7.09,6,107,7,4.04,1
2,8.42439,68,13,254,0,12,1,1,66,116,1.01,13,1.01,2,1.01,1.01,2,8,3,1.01,1
1,0,3,1,10,53,3,5,2,3,5,0,3,0,1,0,0,1,134,3,0,1
1,1.70656,27,5,57,68,7,2,1,21,16,0,5,0,1,0,4.04,1,33,4,0,0
26,34.1638,159,15,629,5,34,2,3,561,263,6.16,18,16.43,2,6.18,1.01,33,10,3,19.21,0
3,5.59671,15,2,54,96,11,4,1,55,32,0,3,0,2,0,4.06,4,88,1,0,1
5,6.78585,22,4,88,95,14,3,6,91,47,0,10,0,6,3.03,2.02,6,76,4,0,1
0,4.07501,9,1,30,1,6,2,1,15,13,0,2,0,3,0,1.01,0,12,6,0,1
5,10.2582,32,6,101,0,13,2,3,78,42,1.01,9,3.14,5,1.01,2.02,6,18,9,2.2,1
3,3.00217,2,1,10,421,2,4,1,1,3,0,2,0,2,0,2.02,3,68,2,0,1
27,27.1274,62,18,209,396,7,4,8,21,79,3.03,26,5.11,1,3.03,3.03,29,57,7,10.43,1
2,2.07169,12,3,44,397,3,5,1,3,21,0,4,1.02,0,0,2.02,2,94,3,1.05,1
13,21.1415,48,10,144,384,18,4,36,153,72,3.03,43,8.21,0,12.21,5.06,16,69,14,5.47,1
0,4.07501,2,0,6,159,2,3,0,1,2,0,0,0,1,0,3.04,0,30,1,0,1
30,28.5804,91,13,296,387,9,7,3,36,115,0,16,10.31,1,0,8.1,32,101,7,10.94,0
3,6.78997,13,3,35,3,7,1,2,21,17,1.01,4,1.04,1,1.01,1.01,3,12,5,1.08,1
37,29.3011,117,22,343,68,14,2,1,91,107,5.07,22,10.34,3,5.07,4.04,40,33,3,8.87,0
10,8.96672,29,3,63,67,9,5,2,36,30,1.01,5,1.02,7,1.01,10.15,11,47,7,1.04,0
3,9.16287,53,6,151,0,10,1,8,45,53,2.02,13,4.16,2,4.05,0,4,8,6,3.27,1
24,20.4542,33,9,129,57,13,5,1,78,78,2.02,9,9.41,0,1.01,24.51,24,202,12,10.61,1
1,0,8,2,29,0,3,1,0,3,15,0,2,0,2,0,0,1,0,1,0,1
1,4.07501,2,0,6,2,3,2,3,3,3,0,3,0,1,0,2.04,1,14,3,0,1
2,2.96868,6,1,20,0,4,1,1,6,5,0,1,0,1,0,1.01,2,8,3,0,1
2,7.2605,54,7,269,19,27,1,6,351,106,0,12,2.03,12,0,0,4,0,2,2.12,1
3,10.0961,12,2,46,7,7,3,3,21,15,0,4,3.06,1,0,4.06,3,22,4,3.19,1
94,41.3943,468,44,2116,0,52,1,6,1326,794,4.07,44,30.36,26,4.05,1.01,101,8,11,37.28,0
5,10.091,64,11,285,8,23,2,1,253,66,0,12,2.02,23,0,1.01,5,40,22,2.04,1
1,7.8386,5,3,20,400,3,5,1,3,13,1.01,4,0,2,1.01,4.04,2,65,3,0,1
24,21.0102,197,31,781,0,23,1,3,253,346,4.04,33,10.91,5,4.05,2.04,26,15,15,10.25,1
18,19.2089,79,19,334,380,7,3,2,21,99,3.04,21,9.25,16,5.06,2.02,19,38,7,8.62,0
40,30.3272,209,24,580,39,25,1,15,300,157,2.02,27,10.39,29,4.06,1.01,44,8,9,13.23,0
9,9.44761,36,11,142,18,20,2,8,190,85,3.03,19,3.2,7,3.03,4.04,9,62,5,2.14,1
1,5.15795,41,4,144,0,11,1,8,55,37,0,12,0,4,3.04,1.02,1,16,9,1.1,1
5,11.8899,48,18,240,17,11,2,1,55,109,3.03,19,2.04,10,3.03,1.01,6,19,6,2.04,1
14,10.2923,82,8,303,99,34,4,3,561,151,1.01,10,2.18,19,2.02,3.03,18,100,13,2.25,1
0,4.07501,4,0,12,11,5,6,1,10,5,0,1,0,1,2.02,3.1,0,47,4,0,1
44,26.6608,41,1,177,0,10,1,3,45,26,1.01,4,1.03,276,2.02,1.01,62,8,10,1.03,0
4,7.27499,28,2,96,95,25,2,7,300,43,0,9,0,15,2.04,2.02,6,70,16,0,1
0,4.07501,8,3,23,4,7,2,1,21,11,1.01,4,0,1,1.01,3.05,0,33,7,0,1
12,14.9873,50,13,171,35,27,3,19,351,83,3.03,29,6.13,1,2.02,7.13,15,76,21,3.19,1
3,8.14238,8,4,36,10,5,3,1,10,12,0,5,1.02,1,0,4.06,4,59,1,1.06,1
9,8.91433,1,0,3,0,2,1,0,1,2,3.11,0,3.48,3,3.3,1.01,10,8,2,6.88,1
3,7.10146,25,8,101,398,13,4,1,78,40,1.01,9,0,1,1.01,2.02,3,56,13,0,0
14,19.5164,3,4,73,0,1,1,0,0,25,0,4,1.03,0,0,0,22,0,1,11.3,1
11,12.0518,94,11,419,50,38,4,4,703,162,1.01,14,2.06,14,1.01,1.04,11,185,20,1.03,1
1,5.99114,1,0,3,0,2,1,3,1,2,0,3,0,0,3.03,1.01,3,8,2,0,1
0,0,13,3,26,14,5,1,0,10,8,0,3,0,3,0,0,1,11,5,0,1
23,20.8651,141,13,445,412,9,5,0,36,142,0,13,10.31,9,0,5.06,24,94,9,9.9,1
3,2.35255,16,8,59,69,12,8,5,66,31,1.01,10,1.01,4,1.01,0,3,304,11,1.1,1
2,3.83244,0,0,0,0,2,1,0,1,2,0,0,0,5,0,1.01,2,8,2,0,1
3,1.5732,18,1,55,396,8,7,1,28,26,0,2,1.06,1,0,8.1,3,102,8,1.13,1
3,12.3914,8,0,24,0,8,1,4,28,8,0,4,3.06,2,2.03,1.01,5,8,8,3.18,0
1,5.12326,7,2,23,0,2,1,1,1,16,1.02,3,1.03,0,1.02,1.01,2,8,1,1.06,1
1,6.65039,1,0,3,3,1,4,1,0,1,1.01,1,1.01,0,1.01,4.13,2,38,1,1.01,0
0,4.07501,23,3,78,0,11,1,2,55,24,0,5,0,5,0,1.01,0,8,11,0,1
0,4.07501,1,0,3,0,1,1,2,0,1,0,2,0,1,0,2.03,0,23,1,0,1
6,7.49694,29,18,149,15,8,3,2,28,77,1.01,18,2.1,2,0,2.04,6,17,0,2.23,0
7,8.43242,36,8,141,97,21,3,1,210,78,1.01,8,3.31,9,1.01,3.03,9,84,8,3.44,1
20,14.8368,110,15,378,274,15,3,44,105,93,0,55,5.14,12,5.11,9.09,24,103,11,7.56,0
0,4.07501,11,4,32,394,3,6,1,3,17,0,5,0,0,0,5.06,0,102,3,0,1
13,23.0053,162,29,462,39,17,1,1,136,215,6.16,29,10.06,2,6.16,1.01,15,8,3,12.38,0
3,5.52652,1,2,10,43,1,4,1,0,5,0,3,0,2,0,4.06,4,33,1,0,1
1,3.97098,17,2,72,3,7,2,1,21,32,0,3,1.02,10,0,2.05,3,21,6,1.05,1
0,4.07501,204,0,612,0,204,1,0,20706,204,0,0,0,0,0,1.01,0,212,204,0,0
0,2.95593,15,2,32,0,6,1,2,15,10,0,4,0,1,0,0,0,8,1,0,1
5,5.59671,31,4,121,95,17,2,3,136,60,0,6,1.12,8,0,2.02,5,68,7,1.29,1
20,20.8131,38,13,144,48,12,1,4,66,54,2.05,17,6.24,6,4.07,1.01,27,11,5,6.57,0
24,21.1753,17,7,66,385,5,6,2,10,29,4.04,9,5.08,3,4.04,8.1,26,95,2,5.26,1
7,0,138,24,1200,402,59,2,1,1711,308,0,25,7.14,11,0,1.01,9,8,15,10.86,1
4,8.43242,23,6,91,95,15,2,1,105,50,0,6,0,5,0,2.02,5,68,5,0,1
2,8.12446,9,2,34,8,10,5,5,45,13,1.01,7,1.08,3,1.01,3.06,3,37,7,1.17,1
7,14.1927,34,9,108,0,10,2,2,45,51,0,11,4.09,8,1.01,2.02,7,18,9,4.12,1
27,15.5832,3,7,21,0,2,1,0,1,28,0,7,2.03,10,0,0,30,0,1,0,1
28,21.8696,283,9,1384,402,88,2,3,3828,340,0,12,12.53,25,0,1.01,34,8,24,14.71,1
4,13.8528,15,2,50,61,5,5,1,10,10,1.03,2,1.14,2,1.04,11.19,4,49,1,3.04,0
7,12.5452,18,6,64,49,6,4,6,15,18,2.02,11,3.08,2,3.03,24.4,7,148,2,4.25,1
4,3.58431,22,3,76,406,9,7,1,36,31,0,4,1.07,2,0,7.09,4,115,8,1.16,1
5,6.78585,27,4,107,95,14,3,4,91,53,0,8,0,6,2.02,2.02,6,76,5,0,1
0,0,24,5,77,0,13,2,1,78,32,0,6,0,3,0,0,1,5,12,0,1
0,1.06049,13,3,35,13,5,3,3,10,12,0,5,0,1,0,2.06,0,55,1,0,1
8,7.95479,33,3,132,95,17,3,1,136,62,0,4,0,7,1.01,3.05,9,73,7,0,1
18,16.1076,53,6,134,0,13,1,19,78,52,1.01,23,5.11,7,3.03,1.01,18,8,13,9.32,0
0,0,11,3,51,0,2,1,3,1,18,0,6,0,1,1.01,0,0,8,2,0,0
0,2.64277,7,3,33,1,4,3,1,6,9,1.01,4,1.05,5,0,2.06,1,31,4,1.19,1
39,24.6219,1169,9,3449,114,50,1,0,1225,374,6.06,9,15.48,107,5.05,1.01,43,20,41,25.62,1
3,14.5866,9,3,36,397,3,7,1,3,20,0,4,1.02,2,0,6.09,5,124,3,2.06,1
31,27.2818,396,27,1340,5,44,1,21,946,567,7.15,46,16.96,43,10.19,5.1,36,21,28,19.03,0
0,2.50744,12,4,35,18,5,2,4,10,15,0,8,0,1,0,4.04,1,62,4,0,1
138,45.5046,217,40,1058,0,65,1,25,2080,413,12.2,58,25.69,182,17.27,0,172,0,54,34.84,0
7,14.2157,45,6,136,153,17,2,11,136,54,1.01,14,1.04,6,1.01,2.02,7,16,7,1.19,0
1,5.11213,4,1,17,61,3,4,1,3,7,0,2,0,1,0,10.15,2,45,1,0,0
13,8.29601,89,11,286,45,14,2,4,91,120,1.01,15,4.27,6,1.01,0,15,4,12,4.22,1
2,4.07501,8,2,27,3,3,3,1,3,7,0,3,0,1,0,2.04,2,17,1,0,1
8,13.1836,40,11,155,5,9,3,2,36,60,1.05,12,5.4,1,4.08,4.08,8,21,9,5.83,1
7,10.4389,56,7,186,4,11,2,1,55,36,1.01,7,1.05,8,1.01,3.05,7,33,11,4.73,1
10,17.9172,86,20,305,3,24,2,4,276,135,1.03,23,4.08,9,2.04,3.06,11,25,17,3.12,1
2,1.29357,39,9,184,4,13,2,7,78,36,1.02,16,1.04,10,1.02,0,2,33,13,1.39,1
6,6.84846,30,7,118,99,19,4,2,171,63,0,8,0,9,0,3.03,8,100,3,0,1
2,1.15638,3,1,10,84,3,2,2,3,5,0,3,1.03,0,1.01,1.05,3,16,1,1.05,1
3,4.08525,1,0,3,6,1,4,5,0,1,0,5,0,1,0,2.03,3,27,1,0,1
1,4.07501,5,2,17,14,4,1,1,6,9,0,3,0,2,0,1.01,1,11,4,0,1
1,6.34778,36,1,94,0,9,1,1,36,23,0,2,1.01,4,1.01,1.01,1,8,8,2.13,1
50,32.2544,229,46,1189,13,16,2,3,120,265,6.1,49,14.9,22,6.11,8.1,56,19,6,24.2,0
42,31.4543,105,13,412,38,12,4,2,66,81,5.05,13,16.5,7,6.08,6.12,44,80,9,21.65,1
0,5.41657,2,0,7,37,2,3,1,1,2,0,1,0,1,0,7.13,0,72,2,0,0
1,4.07501,8,2,25,8,3,2,1,3,8,1.01,3,0,1,0,2.03,1,19,3,0,1
43,27.3456,117,9,333,49,23,4,20,253,101,5.06,25,15.59,6,7.07,24.4,45,148,22,21.72,0
25,24.2091,51,16,209,3,6,2,5,15,57,4.14,21,5.7,13,5.15,2.05,28,12,1,10.93,1
0,4.07501,3,2,11,1,3,3,1,3,5,0,3,0,2,0,1.01,0,31,2,0,1
2,2.96868,8,1,24,95,8,2,6,28,10,0,6,0,0,2.02,2.02,2,68,7,0,1
4,10.0703,34,5,127,0,17,1,3,136,31,1.01,8,4.06,21,1.01,1.01,5,8,1,6.26,0
39,29.2704,177,43,698,81,56,7,10,1540,367,8.1,48,17.06,5,8.1,14.4,45,263,51,21.22,0
7,7.95479,19,2,70,95,15,2,4,105,40,0,6,0,24,1.01,2.02,9,68,5,0,1
7,6.84846,26,6,108,95,14,3,12,91,49,0,18,0,7,0,2.02,8,75,4,0,1
0,4.07501,1,0,3,0,1,1,1,0,1,0,1,0,2,0,2.03,0,23,1,0,1
0,4.07501,5,2,22,1,3,3,1,3,6,0,3,0,3,0,1.01,0,31,3,0,1
8,10.0996,30,9,110,3,10,3,4,45,37,3.05,12,3.06,3,4.06,2.04,11,17,2,2.11,1
2,9.08309,12,7,46,0,8,2,3,28,25,0,10,2.04,1,0,2.02,3,18,8,1.05,1
8,16.4146,33,18,141,0,8,1,2,28,78,3.03,20,3.12,10,4.04,1.01,9,8,8,2.25,1
0,4.07501,5,3,18,0,4,2,4,6,10,0,7,0,4,2.02,1.01,0,22,4,0,1
0,5.19438,4,1,12,387,2,3,1,1,7,0,2,0,0,0,2.02,0,32,2,0,1
3,6.61079,73,1,1520,411,25,4,4,300,63,0,5,0,1,1.01,5.06,4,69,25,1.02,1
17,18.3087,1,0,3,0,1,1,1,0,3,0,1,1.01,0,0,1.01,19,8,0,0,1
1,1.28741,9,2,32,2,7,3,1,21,13,0,3,0,1,0,1.03,1,17,7,0,1
