numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
0,7.70736,3,0,10,0,3,1,2,3,3,0,2,0,5,0,1.02,0,16,3,0,1
44,34.4998,331,22,986,387,30,6,2,435,334,5.05,24,18.84,10,5.05,4.05,48,94,25,23.69,0
8,9.21692,22,5,86,95,14,3,1,91,48,0,6,0,5,0,2.02,9,73,4,0,1
8,9.21502,22,11,63,52,11,4,1,55,34,0,11,2.06,0,0,9.16,8,127,6,2.1,1
7,7.95479,27,4,107,95,14,2,1,91,53,0,5,0,5,0,2.02,8,68,5,0,1
0,4.07501,1,0,3,0,2,1,1,1,2,0,1,0,0,0,1.01,0,8,2,0,1
24,27.8882,218,32,907,0,65,2,4,2080,547,5.06,34,12.25,12,5.06,1.01,28,13,6,12.65,0
4,7.70056,22,2,60,0,4,1,0,6,16,0,2,1.02,3,1.01,1.01,5,8,3,1.2,1
3,5.33714,0,0,0,7,1,4,1,0,1,0,1,1.03,0,0,4.07,3,28,1,1.09,1
28,26.4203,61,12,244,387,10,7,2,45,91,0,14,11.26,1,0,8.1,29,101,8,12.11,0
6,7.32455,16,9,72,384,4,4,0,6,28,1.02,9,2.03,0,1.02,2.02,6,41,4,2.04,1
77,41.9795,310,25,1091,262,26,2,17,325,362,2.02,34,21.74,2,4.04,7.07,82,80,6,30.34,0
6,10.8068,20,4,97,95,13,3,1,78,42,0,5,1.03,3,0,3.05,7,73,3,1.06,1
6,12.7841,44,6,154,5,22,3,0,231,61,1.01,6,5.05,8,1.01,5.05,6,27,22,5.29,1
10,19.5989,49,12,186,61,15,6,9,105,100,3.05,20,8.4,6,4.06,25.5,11,207,14,9.6,1
7,1.84991,86,4,238,119,19,2,4,171,62,0,7,2.15,15,1.01,1.05,8,16,11,2.54,1
1,4.07501,14,1,43,0,4,1,1,6,11,0,2,0,3,2.02,1.01,1,8,3,0,1
1,1.29561,5,0,31,413,4,4,1,6,4,0,1,0,3,0,4.05,1,67,1,1.02,1
21,25.9159,120,17,513,12,19,1,44,171,143,3.07,61,11.98,6,19.38,1.01,25,8,18,13,0
2,1.29357,43,13,128,15,14,3,2,91,46,0,15,1.03,4,0,0,2,70,1,1.07,1
12,19.1826,102,12,409,118,17,2,2,136,74,1.01,13,5.21,13,1.01,3.05,15,33,17,10.59,1
9,7.58317,11,1,42,0,9,2,1,36,21,0,2,0,3,0,1.01,9,11,5,1.01,1
2,1.15638,8,2,27,388,4,3,2,6,8,1.02,4,1.05,5,1.02,0,3,33,4,1.12,1
2,8.23039,45,2,127,0,11,1,23,55,31,0,25,1.03,4,5.07,1.02,2,16,10,1.1,1
7,7.95479,16,1,59,95,12,3,1,66,33,0,2,0,3,0,3.05,8,73,3,0,1
1,6.63337,9,7,37,0,4,1,1,6,20,1.01,8,1.03,2,1.01,1.01,1,8,4,1.07,1
17,15.2779,25,12,158,381,8,4,1,28,70,3.03,13,5.11,7,4.04,3.04,17,46,8,6.3,1
29,21.493,9,7,44,19,4,3,0,6,21,1.13,7,6.07,3,1.13,5.09,32,67,3,12.65,0
10,9.78677,12,1,40,61,9,5,0,36,14,0,1,0,4,0,10.15,11,49,5,0,0
8,14.0643,58,2,164,563,20,2,2,190,31,1.01,4,6.12,12,2.02,3.05,11,24,20,6.51,1
1,6.94335,6,1,23,69,5,8,3,10,8,0,3,1.02,1,1.01,14.4,1,243,4,2.07,1
10,13.767,139,10,468,119,22,3,5,231,81,1.01,13,4.16,20,2.02,3.05,12,40,22,9.89,1
0,4.07501,1,0,3,0,1,1,2,0,1,0,2,0,2,0,2.03,0,23,1,0,1
1,5.54249,0,0,0,0,10,1,3,45,10,0,3,3.04,0,1.01,0,2,8,10,0,1
1,1.29561,31,4,109,0,9,1,1,36,30,0,5,0,3,0,0,1,16,7,0,1
11,16.9073,83,15,311,426,4,5,1,6,118,4.04,16,4.21,2,4.04,5.07,12,94,4,5.64,0
5,6.60309,4,2,13,387,4,7,1,6,12,0,3,0,2,0,8.1,6,101,2,0,1
2,10.199,9,3,24,11,4,2,1,6,10,0,4,2.04,1,0,2.03,2,22,4,2.11,1
7,7.95479,25,3,96,95,15,3,1,105,48,0,4,0,5,1.01,3.05,8,73,5,0,1
0,4.07501,6,1,26,0,5,1,3,10,11,0,4,0,7,0,1.01,0,8,5,0,1
1,2.31501,51,9,192,0,12,1,11,66,86,1.03,17,2.21,5,2.03,0,4,8,9,1.58,0
3,7.82832,1,0,7,74,1,6,2,0,2,0,2,0,2,0,10.15,3,56,1,0,0
0,5.16293,4,1,10,0,3,2,0,3,5,0,1,0,2,0,3.03,1,13,2,0,1
2,7.2883,11,2,38,384,7,6,0,21,14,0,2,0,1,1.01,5.06,2,79,7,0,1
32,23.3337,56,28,423,17,9,2,1,36,149,3.03,28,8.15,4,3.03,2.02,33,19,3,8.49,1
1,4.07501,11,4,34,393,3,4,1,3,16,0,5,0,0,0,2.02,1,61,3,0,1
2,4.07501,19,1,56,0,6,1,3,15,13,0,4,0,3,1.01,1.01,2,8,5,0,1
3,5.19438,4,1,29,386,4,6,1,6,11,0,2,0,0,0,5.06,3,85,4,0,1
2,6.4938,11,1,27,7,4,2,3,6,7,1.01,4,1.01,0,1.03,2.04,2,17,3,1.01,1
2,4.07501,5,1,16,2,8,2,9,28,10,0,10,0,2,1.01,1.01,2,11,7,0,0
4,6.73444,12,3,52,385,6,6,5,15,17,0,7,0,2,1.01,8.1,4,95,5,1.02,1
19,18.7552,69,8,219,0,14,1,11,91,109,3.03,19,5.25,3,5.05,1.01,24,8,12,5.23,0
2,4.08525,29,5,99,0,13,1,3,78,34,0,8,0,11,0,1.01,2,8,12,0,1
3,5.86013,12,4,33,61,5,6,1,10,18,2.03,5,2.05,0,2.03,25.5,3,207,4,2.25,1
0,5.19438,4,1,11,387,2,3,1,1,7,0,2,0,0,0,2.02,0,32,2,0,1
3,8.4257,21,4,78,384,14,5,4,91,29,0,8,0,0,0,4.05,3,77,14,0,1
9,8.43242,31,5,121,95,18,2,5,153,61,0,9,0,8,2.03,2.02,10,68,8,0,1
19,19.6881,103,25,356,64,33,4,6,528,179,3.06,30,9.53,3,4.08,7.19,23,162,25,8.79,1
1,10.696,14,4,41,397,3,5,1,3,24,0,5,1.04,0,0,5.07,2,94,3,1.1,1
0,4.07501,56,4,306,0,5,2,0,10,222,0,4,0,2,0,5.08,0,22,3,0,0
2,7.95479,9,2,31,95,9,3,2,36,19,0,4,0,1,1.01,2.02,3,75,1,0,1
4,5.18843,43,2,145,8,32,2,1,496,68,0,2,2.24,2,0,4.16,4,46,31,3.5,1
2,9.21398,7,4,43,388,3,8,1,3,15,1.02,5,1.04,0,1.02,8.1,3,109,3,1.01,1
5,5.26853,30,4,97,380,10,3,12,45,32,1.01,16,0,3,2.02,2.02,5,38,10,0,1
6,11.7427,80,10,377,0,11,1,1,55,89,2.03,11,4.17,1,2.03,1.01,9,8,4,7.27,0
108,38.6091,316,17,1248,0,40,2,1,780,405,3.04,18,9.44,9,3.04,1.01,132,11,5,13.4,0
0,5.1154,10,3,23,0,6,2,3,15,11,0,6,0,1,0,3.03,0,13,5,0,1
0,4.07501,0,0,0,0,5,1,6,10,5,0,6,0,5,0,1.01,0,8,5,0,1
6,13.7206,48,10,150,413,9,5,1,36,49,0,11,4.06,2,0,6.08,6,84,9,3.04,1
0,3.9771,10,3,39,415,6,6,0,15,16,0,3,0,0,0,6.08,0,93,6,1.04,1
0,7.6074,10,2,42,0,4,1,1,6,11,0,3,0,2,0,1.01,0,8,3,0,1
22,22.6963,53,10,174,397,6,5,2,15,74,5.05,12,10.51,3,6.06,5.07,28,94,5,11.9,1
2,6.5762,1,0,4,6,2,4,2,1,2,0,2,0,1,1.01,2.04,2,25,1,0,1
0,4.07501,5,2,22,1,3,3,3,3,6,0,5,0,3,0,1.01,0,31,3,0,1
4,7.95479,13,2,45,95,11,3,2,55,27,0,4,0,3,0,3.05,5,73,2,0,1
1,0,18,0,55,0,10,1,1,45,27,0,1,0,3,0,0,1,8,9,0,1
0,0,2,0,6,0,2,1,0,1,2,0,0,0,2,0,0,1,8,1,0,1
3,10.492,15,8,70,0,9,1,7,36,40,3.03,15,2.07,4,4.04,1.01,4,8,7,2.23,1
161,43.7616,1033,36,6571,4,403,2,129,81003,2603,5.07,156,46.83,5,21.24,2.02,194,13,387,61.34,0
0,3.9771,31,3,115,0,9,1,2,36,24,0,5,0,5,0,1.02,0,16,8,1.08,1
3,4.59811,27,3,80,388,4,3,1,6,11,1.01,4,2.05,1,1.01,4.04,3,33,3,2.16,1
8,9.68336,12,1,48,0,10,1,1,45,11,1.01,2,4.09,11,1.01,1.01,12,8,0,5.42,0
31,21.3966,100,9,344,95,37,2,15,666,120,1.01,23,3.26,16,8.11,2.02,38,68,21,3.89,1
12,11.9865,34,19,120,69,13,6,3,78,67,4.05,21,4.1,0,3.04,14.36,13,216,10,6.36,1
4,7.95479,14,1,52,95,12,3,1,66,28,0,2,0,3,1.01,3.05,5,73,3,0,1
5,7.96225,15,5,49,8,3,2,1,3,17,0,5,1.01,4,0,2.03,6,19,3,2.04,1
0,4.07501,7,1,24,95,7,2,4,21,8,0,5,0,1,2.02,2.02,0,68,5,0,1
0,4.07501,7,4,27,0,5,2,1,10,12,0,5,0,4,0,1.01,0,22,4,0,1
6,11.7544,112,14,354,0,21,1,3,210,163,1.01,16,3.34,9,1.01,1.01,8,8,3,4.75,1
1,3.93934,2,0,7,23,2,3,1,1,3,1.06,1,1.1,1,1.06,2.04,2,28,2,2.21,1
4,2.38886,155,29,648,0,14,1,2,91,138,1.01,31,3.06,18,1.01,0,4,8,3,3.41,0
8,14.7371,34,13,178,52,10,5,11,45,82,2.05,24,6.4,1,6.09,11.24,8,161,5,5.88,1
8,8.15196,20,9,144,19,7,2,0,21,49,0,9,2.03,3,0,1.01,8,15,0,4.08,1
1,4.07501,2,1,10,400,2,5,1,1,4,0,2,0,0,0,4.04,1,65,2,0,1
7,7.96959,32,14,121,0,4,1,0,6,59,1.01,14,2.11,6,1.01,0,8,9,2,3.59,1
10,17.5763,37,8,158,384,11,5,1,55,70,0,9,4.04,2,0,4.05,10,77,11,6.16,1
16,14.9914,108,11,379,125,27,1,18,351,92,2.02,28,5.15,16,3.04,1.01,17,8,24,8.12,0
0,5.1154,41,1,145,0,41,1,1,820,45,0,2,0,1,0,1.01,0,8,41,0,1
1,2.26443,7,3,33,1,4,3,1,6,9,0,4,0,5,0,0,1,31,4,0,1
1,5.26021,8,2,28,0,6,1,10,15,12,1.01,12,1.04,2,3.03,1.01,1,10,6,1.09,1
0,4.07501,9,0,27,0,10,1,0,45,10,0,0,0,1,0,1.01,0,15,9,0,1
2,6.4938,12,2,39,0,6,1,5,15,19,0,7,1.06,3,2.04,1.01,2,8,6,1.09,1
26,27.6825,77,16,221,384,15,4,4,105,89,5.05,20,11.2,2,6.07,5.06,28,69,13,13.71,1
2,2.38353,29,7,87,6,20,2,0,190,47,1.04,7,1.23,2,1.04,0,4,30,19,1.26,1
1,2.22103,31,3,116,0,6,1,3,15,34,1.01,6,1.06,9,1.01,0,2,8,6,1.07,1
0,4.07501,3,0,12,384,3,5,0,3,3,0,0,0,0,0,5.06,0,76,3,0,1
14,19.225,20,9,66,384,6,4,1,15,32,2.02,10,2.07,2,2.02,5.06,15,69,5,3.1,1
0,3.76811,10,5,40,12,5,3,1,10,17,0,5,0,1,0,2.06,0,45,2,0,1
3,6.85444,8,2,32,10,4,3,1,6,16,0,3,1.09,1,1.01,4.06,3,59,1,1.14,1
48,34.6202,138,14,431,384,21,4,11,210,139,2.03,25,17.52,3,3.06,5.06,50,69,19,22.5,0
5,12.1917,16,6,57,52,11,4,7,55,31,4.1,13,5.31,2,6.1,9.16,5,127,9,5.54,1
4,2.71087,6,0,26,0,4,2,1,6,12,0,1,0,1,0,1.01,4,11,3,0,1
0,4.07501,3,1,9,1,2,2,2,1,5,0,3,0,1,1.01,2.02,0,18,1,0,1
2,2.27131,20,5,56,62,13,5,1,78,22,1.01,6,2.02,1,2.02,1.01,5,202,8,2.11,1
11,22.3224,74,19,281,0,26,1,6,325,150,2.07,24,6.31,4,4.12,1.01,13,8,16,6.62,0
0,4.07501,8,3,28,0,6,2,1,15,11,0,4,0,5,0,1.01,0,24,5,0,1
7,13.175,22,2,66,19,22,3,1,231,25,0,3,4.06,1,0,5.05,8,27,22,4.18,1
0,4.07501,10,3,38,0,8,2,1,28,15,0,4,0,7,0,1.01,0,26,8,0,1
4,9.59103,7,2,26,69,6,7,3,15,12,0,4,2.03,1,1.01,10.33,4,298,5,2.07,1
2,4.07501,6,4,27,397,4,6,1,6,17,1.01,5,0,3,1.01,3.03,2,72,4,0,1
0,4.07501,3,1,10,219,2,2,1,1,3,0,2,0,0,0,6.09,0,55,2,0,0
6,10.9499,33,9,157,0,8,1,1,28,57,0,10,2.02,1,0,1.01,7,8,1,2.07,1
2,7.48389,0,0,0,204,0,1,0,0,0,0,0,0,1,0,1.01,2,8,0,0,0
7,10.4506,19,0,53,2,17,2,1,136,18,0,1,3.04,15,0,6.08,7,41,17,4.14,1
5,15.218,47,6,128,385,7,6,0,21,20,1.01,6,0,1,1.01,5.06,5,79,7,3.24,1
11,15.8578,43,11,145,0,5,1,1,10,62,1.01,12,5.16,3,1.01,1.01,12,8,3,2.32,0
7,15.7424,29,15,127,53,14,6,3,91,61,3.11,18,4.41,0,4.16,13.26,10,170,10,5.96,0
21,19.5457,179,14,799,415,14,6,1,91,289,1.01,15,6.4,0,1.01,7.1,21,117,12,10.42,1
24,26.7583,79,28,419,0,22,1,8,231,168,5.15,33,10.85,21,6.17,1.01,26,8,21,13.5,0
0,0,2,0,9,384,2,3,1,1,5,0,1,0,0,0,2.02,0,31,2,0,1
15,21.1473,34,11,96,380,7,3,2,21,46,3.03,13,3.07,2,5.05,2.02,15,38,7,3.11,1
3,6.70304,11,5,35,385,5,6,2,10,24,1.01,7,1.04,0,1.01,8.1,3,95,4,1.05,1
3,5.19438,43,10,129,0,5,1,3,10,36,0,13,0,1,0,1.01,3,8,5,0,1
0,2.36846,1,0,10,0,4,1,3,6,5,0,3,0,0,0,1.01,0,8,4,0,1
3,5.68889,12,4,50,1,6,2,2,15,18,2.02,6,2.04,5,6.06,1.01,4,12,6,1.01,1
1,0,2,0,7,54,2,5,3,1,3,0,3,0,1,0,0,1,138,2,0,1
8,8.63149,38,5,137,95,19,3,2,171,72,0,6,1.03,10,2.02,3.05,11,73,9,1.03,1
1,8.16696,24,2,80,0,3,1,12,3,11,1.01,14,1.03,18,1.01,1.01,2,8,3,1.03,1
6,5.25685,8,8,41,18,4,2,1,6,29,2.04,8,2.05,0,2.04,4.04,6,62,2,2.06,1
7,11.3437,11,11,43,67,3,5,1,3,25,2.02,12,2.02,1,2.02,10.15,8,47,2,1.03,1
3,7.05208,13,1,69,0,10,1,3,45,21,0,4,2.12,2,0,1.01,4,8,10,2.42,1
3,5.59671,18,3,67,96,13,4,1,78,41,0,4,0,4,0,4.06,4,88,2,0,1
7,8.7196,16,8,62,28,8,4,3,28,35,0,11,2.04,0,0,4.1,7,91,2,1.05,1
24,19.7948,166,33,1189,427,49,3,1,1176,262,2.04,34,5.34,8,2.04,10.17,25,96,16,8.68,0
1,4.07501,14,1,44,0,4,1,1,6,10,0,2,0,3,0,1.01,1,8,3,0,1
1,5.08455,44,0,169,0,44,1,1,946,45,0,1,0,20,0,1.01,1,28,44,0,1
19,18.513,47,7,210,55,10,5,1,45,70,4.05,8,8.59,5,4.04,19.37,20,171,10,11.84,1
13,17.3722,93,6,383,0,16,1,10,120,122,1.01,15,4.04,10,2.02,1.02,16,16,13,6.34,1
1,6.55162,4,0,8,37,2,3,8,1,2,0,8,0,2,1.02,7.13,2,72,2,0,1
15,12.8587,50,18,200,0,5,1,5,10,85,2.02,23,3.07,4,3.03,1.01,20,8,2,3.06,1
33,16.6898,113,15,638,133,18,2,1,153,220,2.02,16,6.2,2,2.02,6.13,36,46,2,8.75,0
9,11.1327,19,13,152,0,6,1,2,15,67,2.02,15,3.05,1,2.02,1.01,13,8,5,2.04,1
126,46.3868,489,61,2475,0,122,1,70,7381,1026,15.32,110,45.11,97,24.5,1.01,141,8,74,58.31,0
6,6.84846,23,4,76,95,13,3,1,78,39,0,4,0,6,0,2.02,7,73,4,0,1
8,8.63149,38,6,136,95,19,3,1,171,72,0,6,1.03,10,0,3.05,11,73,9,1.03,1
1,11.3038,9,3,34,388,5,5,3,10,14,0,6,2.03,2,3.04,7.09,2,78,5,3.11,1
0,1.67023,7,3,27,0,3,1,3,3,13,1.01,6,1.1,2,1.01,0,2,8,3,1.14,1
1,4.07501,10,2,31,219,3,2,1,3,7,0,3,0,3,0,6.09,1,55,3,0,1
6,10.7103,133,16,474,0,43,1,6,903,273,1.01,22,4.14,12,0,1.01,6,8,30,4.45,1
1,6.60309,10,2,35,0,4,1,9,6,10,0,11,0,5,0,1.01,1,8,4,0,1
2,1.29357,10,3,41,69,7,8,2,21,17,0,4,1.01,4,0,0,2,234,6,1.1,1
4,7.95479,9,1,31,95,9,3,1,36,18,0,2,0,1,0,3.05,5,73,1,0,1
21,19.2708,64,6,180,61,12,4,3,66,56,2.02,8,4.21,22,2.03,10.15,23,45,6,7.73,0
15,13.1474,40,11,232,380,6,3,1,15,85,0,12,4.12,7,1.01,2.02,15,38,6,5.43,1
1,6.70304,6,2,18,0,4,2,4,6,6,0,6,0,3,0,1.01,1,15,3,0,1
9,9.60485,19,12,87,18,5,2,2,10,58,3.03,14,2.04,2,3.03,4.04,10,62,2,1.01,1
5,3.42644,56,11,152,6,19,2,4,171,76,1.03,15,3.2,6,1.04,1.01,6,24,14,3.42,1
20,20.2148,25,5,87,394,6,6,2,15,34,1.01,7,3.05,4,2.02,7.09,22,107,5,5.31,0
0,6.93237,6,0,21,419,6,7,1,15,10,1.01,1,1.01,1,1.01,6.08,2,118,6,1.03,1
37,35.6225,148,36,712,0,20,1,4,190,211,7.07,39,21.04,5,9.09,1.01,41,8,15,27.98,0
0,8.05174,5,1,18,387,5,3,1,10,9,0,2,1.01,2,0,3.03,2,35,5,1.03,1
17,14.6512,35,0,105,0,35,1,26,595,35,0,26,6.1,0,5.08,1.01,23,8,2,6.3,1
0,6.93237,7,0,23,385,7,6,1,21,12,1.01,1,1.01,2,1.01,9.11,2,98,6,1.03,1
1,1.26811,3,1,10,32,3,3,1,3,6,0,2,0,1,0,2.02,1,21,3,0,1
4,9.52687,18,7,64,0,5,1,3,10,39,3.04,10,3.09,3,3.04,1.01,4,8,0,2.13,0
0,2.36846,10,3,37,9,6,2,2,15,13,0,5,0,5,1.01,1.01,0,23,6,0,1
1,4.07501,18,2,64,0,10,1,1,45,20,0,3,0,4,0,1.01,1,8,10,0,1
1,0,4,2,13,69,4,5,0,6,8,0,2,0,1,0,6.06,1,54,2,0,0
12,18.395,112,8,392,3,30,2,6,435,133,1.03,13,5.43,12,2.06,3.08,13,30,18,7.46,1
1,1.47165,7,2,34,58,5,5,1,10,12,0,3,0,0,0,1.01,1,179,4,0,1
1,0,0,0,0,5,2,2,1,1,2,0,1,0,0,0,0,1,19,2,0,1
9,5.79221,7,4,23,0,8,1,1,28,25,1.01,5,1.04,0,1.02,0,10,8,8,1.13,1
3,4.08525,1,0,3,6,1,3,4,0,1,0,4,0,1,0,2.03,3,26,1,0,1
0,6.37263,9,1,28,0,8,1,3,28,16,1.01,4,1.01,2,1.01,1.01,0,8,8,0,1
54,34.7321,86,14,290,6,31,2,1,465,85,9.32,14,21.41,14,9.33,8.12,59,39,29,25.73,1
2,7.79015,20,5,75,398,11,6,1,55,29,0,6,1.02,3,0,4.05,2,99,11,1.05,1
5,4.49837,53,3,191,219,17,2,2,136,30,0,5,2.02,9,1.01,2.05,6,55,16,3.28,1
2,4.08525,7,0,29,0,5,1,1,10,11,0,1,0,34,0,2.03,2,22,5,0,1
4,8.33084,27,9,89,50,15,3,1,105,39,1.01,10,1.02,1,1.01,1.03,5,118,9,0,1
9,12.6182,21,8,99,380,11,2,27,55,38,0,35,4.09,0,2.02,2.02,9,27,11,3.1,1
1,5.76357,3,3,11,0,2,1,4,1,9,0,7,1.03,0,1.01,1.01,2,8,2,1.02,1
1,4.07501,6,4,26,397,4,6,1,6,16,0,5,0,0,0,3.03,1,72,4,0,1
10,10.0134,11,1,31,380,8,3,8,28,14,1.02,9,2.04,1,1.02,2.02,10,38,8,2.19,1
0,4.07501,4,1,12,387,2,3,1,1,7,0,2,0,0,0,2.02,0,32,2,0,1
0,4.07501,4,2,21,388,3,8,1,3,11,0,3,0,0,0,8.1,0,110,3,0,1
3,10.1694,258,12,1081,1,12,3,1,66,352,2.02,13,2.04,14,2.02,1.01,4,40,11,3.05,0
2,6.22874,3,0,11,3,3,4,1,3,3,1.01,1,1.01,2,1.01,4.13,3,38,3,1.01,0
3,3.17525,21,3,81,0,11,1,2,55,29,0,5,0,7,0,1.03,4,28,5,0,1
4,5.41047,18,4,117,0,11,1,0,55,34,1.01,4,1.01,9,1.01,1.01,4,8,11,1.03,1
3,7.10696,25,2,78,0,12,1,7,66,21,0,9,0,4,2.02,1.01,3,8,12,1.01,1
155,43.3291,0,0,0,282,0,1,0,0,0,0,0,0,129,0,1.01,173,8,0,0,0
3,1.5732,18,1,56,408,8,6,1,28,26,0,2,1.07,2,0,6.08,3,101,8,1.16,1
1,4.22835,51,1,136,17,12,1,5,66,66,1.01,6,1.09,1,1.01,0,2,0,5,1.03,1
