numberOfNonTrivialBugsFoundUntil:,CvsEntropy,ck_oo_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,ck_oo_lcom,ck_oo_rfc,WCHU_fanOut,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_cbo,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,WCHU_numberOfLinesOfCode,class
5,9.92215,2,5,46,1,1,0,0,15,1.01,5,1.05,0,0,1.01,0,7,0,1,4.41,0
3,11.828,7,5,27,2,2,1,1,21,1.01,6,3.03,1,1,3.03,0,4,3,1,2.03,1
7,15.769,25,8,90,6,1,1,15,45,3.03,9,4.07,4,4,3.03,1.01,7,6,2,3.17,1
0,7.46676,8,0,26,7,1,4,21,7,0,4,0,6,6,0,1.01,0,12,7,0,0
1,3.03875,11,0,33,11,1,6,55,18,0,6,0,2,1,1.01,0,2,0,11,0,1
0,1.76682,18,3,77,5,1,1,10,23,0,4,0,7,7,1.01,0,1,6,3,1.01,0
1,8.39741,18,12,110,11,4,1,55,50,2.02,13,2.04,2,1,2.02,9.11,1,51,3,1.03,0
1,5.5393,55,8,230,25,1,2,300,77,2.02,10,0,20,20,3.03,0,3,6,24,0,0
2,5.55124,62,7,220,22,2,5,231,87,1.01,12,2.12,10,9,1.01,1.11,3,11,14,3.26,1
0,5.02919,27,7,147,21,4,1,210,76,1.04,8,1.1,4,4,1.04,1.07,2,39,7,2.06,1
0,0,3,0,15,3,2,1,3,5,0,1,0,1,1,0,0,1,4,2,0,1
8,21.8778,39,14,180,19,1,2,171,112,4.04,16,8.42,1,0,4.04,0,8,0,9,9.85,0
0,0,7,1,27,5,1,4,10,11,0,5,0,2,0,0,0,1,0,4,0,1
1,7.47927,4,0,13,4,1,6,6,4,0,6,0,2,2,1.02,1.01,1,6,4,0,1
2,9.20458,8,0,28,8,2,18,28,12,0,18,1.02,0,0,10.17,0,3,6,6,1.08,1
0,1.56044,3,2,10,3,6,0,3,6,0,2,0,0,0,0,0,2,20,3,1.01,1
0,8.04434,10,2,33,5,1,0,10,16,0,2,0,1,1,1.01,1.01,0,6,4,0,1
1,1.76682,9,2,27,5,2,1,10,12,0,3,0,0,0,0,0,1,9,5,0,1
0,5.24229,4,3,30,4,2,1,6,12,1.01,4,0,1,1,1.01,1.01,1,14,1,0,1
1,7.47927,11,0,24,9,1,0,36,11,0,0,0,0,0,0,1.01,1,15,9,1.02,0
4,11.0132,41,5,179,15,1,3,105,51,4.04,7,3.24,3,3,4.04,0,5,6,8,8.14,0
2,3.04262,1,0,3,1,2,0,0,1,0,0,0,0,0,0,1.01,3,20,1,0,1
2,8.36237,20,9,60,4,4,18,6,39,2.04,27,2.55,0,0,5.24,4.09,3,16,3,3.75,1
1,8.51102,54,11,277,22,3,0,231,107,1.01,11,2.08,5,5,1.01,3.04,2,21,15,3.18,1
4,14.7948,17,3,71,7,1,2,21,35,0,5,4.12,6,5,3.03,0,4,0,5,6.19,1
0,3.36633,9,1,21,5,1,0,10,10,0,1,0,2,2,0,0,1,6,4,0,1
1,4.50833,4,3,12,3,5,1,3,6,0,4,0,0,0,0,3.08,1,89,1,0,1
0,7.72196,5,3,21,4,2,1,6,11,0,4,1.01,5,5,1.01,0,0,8,4,0,1
2,4.8424,36,6,145,7,1,0,21,58,2.03,6,3.33,0,0,2.03,0,4,6,2,3.89,1
1,3.98647,16,5,72,6,4,1,15,30,0,6,0,2,2,0,1.01,1,34,2,0,1
3,11.8519,8,2,33,7,5,46,21,17,1.01,47,1.01,2,2,14.35,3.04,3,86,6,1.02,1
3,14.5908,49,13,135,18,5,5,153,77,2.03,18,4.3,5,5,3.04,4.15,5,79,16,6.62,1
0,4.41258,12,2,38,12,6,3,66,22,1.02,5,1.09,1,1,2.04,6.58,1,499,12,1.13,1
10,17.9368,61,18,187,19,1,24,171,122,5.28,39,7,7,7,7.14,1.01,10,6,13,8.57,1
9,10.5919,6,0,48,2,1,8,1,9,0,8,3.07,4,4,4.04,0,11,0,2,3.41,1
12,31.5637,58,29,234,20,3,1,190,191,11.24,29,17.91,5,4,10.23,9.27,16,37,3,23.96,1
27,35.8788,0,0,0,0,1,0,0,0,0,0,0,185,1,0,0,42,0,0,0,0
1,12.0816,22,11,179,15,3,1,105,72,2.02,12,2.05,6,6,2.02,3.04,2,21,8,3.21,1
0,3.71677,7,2,23,7,5,3,21,10,0,5,0,1,1,0,4.49,0,248,7,1.01,1
0,1.56044,3,2,10,3,6,0,3,6,0,2,0,0,0,0,0,2,20,3,0,1
0,0,7,1,25,2,1,3,1,7,0,4,0,0,0,0,0,1,0,2,0,1
5,17.2562,30,10,152,9,1,2,36,89,3.04,12,6.58,4,4,2.03,0,9,0,3,8.02,1
0,7.26436,8,3,32,6,1,0,15,16,0,3,1.01,1,1,0,1.01,0,6,5,1.01,1
0,2.84822,17,13,78,12,5,0,66,42,0,13,0,2,2,0,2.04,3,80,8,1.12,1
0,6.41569,12,3,43,4,1,3,6,23,0,6,0,2,2,2.02,1.01,0,6,4,1.02,1
1,2.23703,13,12,165,5,5,1,10,33,0,13,0,4,4,0,0,2,55,3,0,1
2,4.80854,38,8,151,10,1,2,45,80,0,10,0,2,2,0,0,2,0,1,2.03,1
0,5.68119,46,13,220,20,1,11,190,95,1.01,22,1.03,11,7,2.02,1.01,0,6,15,3.14,1
3,6.83452,109,10,457,65,2,41,2080,195,1.01,51,2.06,14,11,5.1,0,5,62,47,3.35,0
1,11.1725,26,4,108,13,1,4,78,51,1.01,8,1.01,7,3,2.02,1.01,2,6,2,3.27,0
1,6.02605,17,6,83,12,5,2,66,41,1.01,8,3.1,4,4,1.01,4.07,2,78,12,2.25,0
3,7.696,14,4,140,9,1,1,36,36,0,5,0,5,5,0,0,3,0,4,1.09,1
1,3.19695,6,3,19,3,5,1,3,12,0,4,0,0,0,0,3.08,1,89,1,0,1
3,14.3413,46,24,128,10,1,1,45,74,3.04,25,4.19,4,4,3.04,1.01,4,6,3,5.49,1
3,5.6766,9,2,28,1,1,0,0,19,0,2,1.12,2,2,0,1.01,3,6,1,2.13,1
3,5.05091,8,8,29,3,3,1,3,17,3.07,9,3.15,1,1,3.07,4.06,4,36,1,3.26,0
0,2.67051,6,2,18,6,1,34,15,24,0,36,0,0,0,13.17,0,1,6,6,0,1
0,7.81509,16,1,55,10,2,1,45,21,2.02,2,2.02,0,0,2.02,0,0,11,9,1.03,1
5,10.9776,6,1,21,4,1,10,6,13,2.02,11,1.3,30,0,3.07,1.01,12,6,4,7.8,1
0,6.41569,9,2,29,8,1,1,28,18,2.02,3,0,1,1,2.02,0,0,0,8,1.02,1
8,10.2464,82,19,290,15,1,3,105,124,1.02,22,3.34,0,0,2.04,0,9,6,4,6.23,1
4,16.2007,23,7,71,9,1,2,36,42,3.04,8,7.24,4,4,3.05,1.01,4,11,8,5.22,1
3,3.82071,19,3,54,7,2,3,21,21,1.01,6,2.04,9,9,2.02,0,4,36,5,3.08,1
2,11.1198,14,9,96,11,2,1,55,40,2.04,10,2.25,7,6,2.04,7.17,3,28,3,3.8,0
1,4.36826,30,13,169,7,1,5,21,77,0,18,3.07,1,1,0,0,2,6,5,1.07,1
6,21.2841,63,10,162,32,2,23,496,76,4.07,33,6.28,7,5,9.14,2.02,6,21,23,6.71,1
2,12.0347,4,5,45,4,2,1,6,18,3.04,6,2.08,3,2,3.04,8.18,4,28,2,2.03,1
5,9.64953,23,9,124,8,1,2,28,50,2.08,11,4.44,2,2,3.08,0,7,0,3,5.14,1
0,1.77712,2,0,6,3,1,0,3,4,0,0,0,0,0,0,0,1,7,3,0,1
0,0,15,7,44,9,2,2,36,34,3.04,9,5.22,2,2,4.05,6.19,0,31,8,7.3,1
0,7.72196,9,2,33,6,1,0,15,17,0,2,1.01,4,4,0,0,0,0,5,0,1
2,5.15869,34,3,142,17,1,3,136,58,1.01,6,3.4,1,1,2.02,0,4,6,12,3.94,0
6,13.06,20,8,71,11,5,8,55,37,2.03,16,3.06,4,3,4.05,4.07,6,71,10,4.13,1
7,11.2702,29,3,115,22,1,7,231,45,0,8,4.06,14,10,1.01,0,7,6,13,5.26,1
2,6.05686,5,10,65,5,2,2,10,37,1.01,12,2.15,0,0,2.03,1.01,4,4,3,3.19,1
3,11.5519,8,11,60,7,2,1,21,30,2.03,12,3.07,5,5,2.04,0,3,8,7,2.08,1
1,2.90397,2,1,6,2,2,1,1,4,0,2,0,0,0,0,1.01,2,10,2,0,1
3,10.2582,14,6,67,8,2,1,28,18,2.04,7,5.14,5,5,2.04,2.02,6,8,6,5.25,1
1,5.38823,36,2,94,15,1,3,105,43,0,4,2.02,3,0,0,0,3,0,11,3.05,1
2,7.21846,21,12,126,15,5,1,105,80,0,13,0,2,0,0,2.04,5,80,9,0,1
16,27.4277,108,34,525,35,5,2,595,243,8.14,35,14.93,10,10,8.14,5.37,20,73,6,19.56,1
0,5.4727,11,2,41,8,3,2,28,22,2.02,4,2.1,3,3,2.02,4.11,0,55,7,2.22,1
6,12.7295,63,9,222,23,4,1,253,145,1.02,10,2.05,2,2,2.03,9.58,8,192,21,2.04,1
0,1.76682,10,0,36,4,1,1,6,9,0,1,0,1,1,0,0,1,0,3,1.04,1
1,4.7997,17,0,68,5,1,1,10,19,0,1,0,5,5,0,0,1,0,4,1.02,1
0,6.26191,15,4,57,5,1,0,10,36,0,4,0,1,0,0,0,0,0,2,0,1
1,1.38451,23,7,77,5,1,2,10,47,0,9,0,3,0,0,0,2,6,2,0,1
2,6.35106,96,13,381,33,3,28,528,139,3.07,41,3.17,3,3,5.32,3.52,4,195,27,4.71,1
9,15.7896,29,11,252,16,4,1,120,88,5.08,12,8.53,9,9,5.08,7.21,23,32,11,11.25,1
0,4.64887,4,1,10,3,2,1,3,6,0,2,0,0,0,0,2.02,0,29,2,0,1
2,7.70698,8,4,25,2,4,1,1,13,1.02,5,1.06,0,0,4.04,3.04,3,16,2,1.07,1
3,8.04434,9,4,18,4,3,0,6,11,0,4,0,0,0,0,3.03,3,33,2,0,1
1,3.18664,4,2,15,3,3,1,3,8,0,3,1.02,0,0,0,2.04,1,14,2,1.03,1
2,2.15793,20,11,81,8,2,1,28,39,0,12,0,2,1,0,0,3,29,6,2.02,1
6,21.0274,102,13,440,23,3,1,253,245,4.04,14,5.25,2,0,4.04,7.07,7,41,1,8.02,1
0,0,13,1,43,6,1,1,15,13,0,2,0,2,2,0,0,1,0,5,0,1
2,5.52957,37,22,236,19,5,1,171,128,1.03,23,2.22,4,4,1.03,6.55,2,72,9,2.24,1
2,9.08573,16,2,49,6,3,2,15,14,3.03,4,1.09,3,2,3.03,1.01,3,29,5,1.3,1
0,3.32521,13,12,63,4,1,1,6,45,0,13,0,0,0,0,0,1,6,1,1.11,1
2,17.7108,46,13,215,16,3,2,120,101,2.02,15,5.27,7,6,4.04,3.04,4,21,7,4.76,1
8,17.5143,20,1,95,10,2,1,45,36,0,2,4.24,8,7,0,2.02,8,4,9,7.61,1
0,6.41569,29,0,79,8,1,0,28,23,0,0,0,4,2,0,0,0,0,1,0,1
1,1.76682,9,4,31,2,2,0,1,17,0,4,0,1,0,0,0,1,14,1,0,1
7,15.7896,22,9,159,13,4,1,78,57,5.08,10,8.38,5,5,5.08,7.21,16,32,11,11.19,1
9,16.1068,49,15,396,19,5,2,171,105,4.04,17,6.39,8,8,4.04,4.27,18,34,6,12.76,1
1,1.77712,5,3,17,3,2,2,3,6,0,5,0,1,1,0,0,1,43,2,0,1
5,13.7684,43,23,176,15,5,2,105,117,1.01,24,4.09,1,1,1.01,5.37,5,72,6,5.2,0
5,12.3564,59,22,387,27,4,2,351,176,6.22,24,9.54,8,8,6.23,6.14,13,32,9,11.05,1
15,20.29,19,9,199,9,4,3,36,55,3.11,12,7.02,12,12,4.11,4.1,20,47,6,11.51,0
7,12.6552,10,2,56,8,1,0,28,27,1.01,2,3.07,3,3,1.01,0,7,0,4,4.14,1
0,3.36633,81,4,257,9,1,1,36,65,0,5,0,9,0,0,0,1,6,3,0,1
3,7.08978,10,0,30,11,3,4,55,11,0,4,3.08,5,5,1.01,6.11,4,70,11,3.24,1
15,36.1864,150,48,548,40,4,13,780,328,9.16,58,20.21,7,7,16.29,12.28,19,78,15,24.82,1
12,21.4581,26,7,113,15,1,5,105,51,8.11,12,9.64,11,0,9.12,0,13,0,6,9.91,0
2,10.8383,20,3,50,11,1,6,55,25,0,9,0,5,5,1.02,0,2,0,10,0,1
0,6.41569,7,2,21,4,1,1,6,10,0,3,1.01,2,2,1.01,1.01,0,6,4,0,1
2,5.42567,101,6,370,20,1,1,190,218,0,7,2.81,0,0,0,1.01,2,6,0,4.48,1
1,6.90708,4,2,17,4,3,0,6,9,0,2,0,2,2,0,0,1,1,4,1.01,1
7,19.4171,45,14,198,20,1,2,190,97,6.06,16,6.53,7,7,7.09,0,7,0,10,4.53,0
0,3.30831,3,1,9,3,5,2,3,5,0,3,0,1,1,1.01,3.07,0,64,3,0,1
1,9.30009,60,17,174,8,2,1,28,72,0,18,0,0,0,0,1.01,1,29,2,1.13,1
1,3.19189,24,4,76,10,2,1,45,28,0,5,0,8,7,0,0,1,25,4,0,1
1,13.9202,3,6,23,3,2,1,3,15,3.05,7,3.09,4,3,3.05,8.18,2,28,1,3.07,1
0,7.62199,6,1,30,4,3,1,6,5,0,2,0,2,2,0,0,1,13,3,0,1
6,15.7601,15,2,74,9,1,0,36,28,2.02,2,3.14,4,3,3.03,0,6,0,6,4.47,1
1,14.4321,8,6,27,5,6,3,10,20,1.01,9,2.06,1,1,3.03,11.51,1,155,4,1.03,1
0,3.05459,7,2,19,5,2,3,10,10,0,5,0,1,1,0,0,1,15,5,0,1
0,4.22329,34,6,105,7,2,1,21,41,0,7,0,0,0,0,1.01,0,29,2,2.16,1
10,21.3635,41,7,281,19,1,2,171,104,3.07,9,6.32,17,16,3.07,0,12,0,10,8.04,0
3,11.6615,17,8,50,4,3,1,6,21,0,9,1.01,2,2,0,2.02,4,21,3,2.03,1
4,7.03016,30,17,147,14,1,2,91,68,1.04,19,2.15,16,16,1.05,0,6,0,3,3.47,1
13,12.9364,218,21,646,37,2,1,666,471,5.12,22,9.71,21,10,5.12,2.03,17,18,6,11.02,0
0,8.98492,20,12,130,13,3,1,78,61,2.03,13,3.11,5,5,2.03,3.04,2,21,7,4.21,1
3,13.1509,50,13,147,14,1,2,91,93,1.02,14,3.09,2,2,1.02,1.01,3,6,5,3.13,1
1,2.53244,4,3,34,2,1,1,1,13,0,4,0,0,0,0,0,3,7,2,0,1
1,3.05459,33,8,110,16,1,1,120,68,0,9,0,1,0,0,0,2,0,9,1.03,1
0,3.36633,4,0,13,4,1,0,6,4,0,0,0,2,1,0,1.01,1,6,4,0,1
2,6.12275,16,4,51,13,4,1,78,24,0,5,1.01,2,2,0,1.01,2,55,8,2.07,1
1,5.02919,23,6,120,18,4,1,153,61,1.04,7,1.1,3,3,1.04,1.07,3,39,7,2.06,1
1,5.88694,12,1,57,10,1,1,45,21,0,2,2.06,6,0,0,0,2,0,9,2.21,1
0,0,3,0,10,3,1,0,3,3,0,0,0,2,2,0,0,0,8,3,0,1
0,1.76682,9,1,32,2,1,1,1,15,0,2,0,2,2,0,0,1,6,2,0,1
15,31.2057,148,40,564,34,5,2,561,289,10.21,41,19.58,9,9,10.21,5.37,22,73,5,22.23,1
1,2.98374,4,1,14,3,2,2,3,6,1.01,3,1.03,1,1,1.02,0,2,11,3,2.07,1
0,6.42599,2,2,8,2,1,1,1,4,0,3,0,1,1,0,1.01,0,7,2,0,1
10,18.222,63,15,278,16,1,29,120,118,2.02,44,10.22,7,7,12.19,1.01,11,6,12,10.52,1
1,5.95086,30,16,146,15,5,1,105,82,1.01,17,2.16,2,2,1.01,2.04,5,80,10,3.18,1
1,0,9,2,24,3,1,0,3,10,0,2,0,2,2,0,0,1,6,3,0,1
2,5.98276,17,3,50,11,2,14,55,19,0,17,0,4,4,10.35,1.01,2,12,11,0,1
5,14.6314,17,1,52,1,1,0,0,25,1.01,1,3.18,0,0,1.01,1.01,5,6,1,5.38,1
8,23.6105,111,11,350,42,3,1,861,195,9.11,12,14.77,16,16,9.11,14.43,10,67,40,18.35,0
1,1.42715,25,0,165,17,1,6,136,59,1.01,6,1.01,0,0,1.02,0,2,6,17,1.02,0
2,3.70646,10,5,45,6,1,1,15,17,1.01,6,1.01,1,1,1.01,0,2,0,2,2.14,1
0,1.76682,9,3,42,3,1,1,3,12,0,4,0,2,2,0,0,1,0,2,1.01,1
4,17.1691,177,31,788,38,5,1,703,325,5.08,32,9.56,17,17,5.08,4.35,16,75,11,15.73,1
3,12.0774,7,3,22,5,3,3,10,12,0,6,1.02,2,1,0,4.06,3,55,5,1.04,1
2,7.22187,8,3,32,3,1,1,3,14,0,4,0,3,3,0,0,2,0,3,0,1
1,2.80367,4,2,20,2,1,1,1,7,0,3,0,3,3,0,0,1,0,2,1.01,1
10,17.039,14,8,53,5,2,2,10,31,5.18,10,6.42,1,1,14.49,2.06,10,11,2,8.11,0
0,6.41569,31,10,92,13,2,1,78,49,0,11,0,1,1,0,2.02,0,29,3,1.05,1
1,8.1934,8,0,23,2,1,7,1,6,0,7,0,1,1,6.08,0,1,0,2,1.02,1
2,6.19566,26,11,98,9,2,6,36,60,0,16,2.03,2,2,1.05,1.01,2,11,9,3.12,1
1,3.19189,12,1,42,5,2,0,10,11,0,1,0,5,5,0,0,1,25,5,0,1
2,1.27443,2,0,6,2,3,1,1,2,0,1,0,0,0,0,0,2,5,1,0,1
0,1.56044,53,11,134,13,5,1,78,93,0,12,0,16,8,0,2.04,2,80,7,1.39,1
1,7.7645,4,4,29,4,1,1,6,19,1.02,5,2.09,1,1,1.02,0,1,0,3,3.17,1
3,17.1566,7,10,34,4,2,1,6,33,4.05,10,4.16,1,0,3.04,8.18,4,28,1,5.15,1
4,8.67717,57,22,265,23,5,1,253,154,2.04,23,3.12,4,4,2.04,6.38,4,72,10,4.4,1
0,1.76682,5,2,16,4,3,1,6,9,0,3,0,1,0,0,0,2,14,3,0,1
0,1.56044,2,2,7,2,6,0,1,5,0,2,0,0,0,0,0,2,20,2,0,1
11,21.0216,30,17,123,7,2,0,21,102,6.1,17,10.45,2,1,6.1,1.06,11,19,1,10.94,0
1,4.31805,4,4,13,4,2,0,6,9,0,4,1.01,0,0,1.01,0,1,13,1,0,0
0,5.61911,2,0,6,2,3,0,1,2,0,0,0,0,0,0,5.13,0,33,1,0,1
1,5.02919,18,3,71,14,4,1,91,32,0,4,1.02,2,2,0,1.07,2,39,7,2.07,1
0,6.79305,9,4,34,8,3,0,28,18,1.01,4,1.02,3,3,1.01,5.13,0,33,6,2.08,1
0,7.95718,2,0,7,2,2,2,1,2,0,2,0,2,1,0,1.01,0,19,2,0,1
0,7.05038,6,6,36,3,1,1,3,19,0,7,0,1,1,0,0,0,0,2,1.04,1
0,1.77712,5,0,18,5,1,2,10,5,0,2,0,4,4,0,0,0,6,5,0,1
1,4.83647,19,4,65,7,1,1,21,39,0,4,0,2,2,0,0,1,8,6,1.03,1
9,17.3119,51,15,187,16,4,4,120,93,2.06,19,4.24,5,5,4.1,4.08,9,88,15,5.79,1
0,5.82803,4,2,37,2,1,1,1,14,0,3,0,0,0,0,0,1,7,2,1.04,1
0,6.94415,122,24,390,29,2,2,406,177,1.01,25,2.07,7,7,1.01,2.08,0,15,15,3.4,1
1,3.71677,7,2,22,7,6,2,21,12,0,4,0,1,1,0,4.49,2,262,7,1.05,1
6,14.0182,50,12,237,17,4,10,136,117,10.12,22,6.61,4,4,14.21,4.11,7,51,13,6.66,1
0,6.01575,7,2,39,5,2,1,10,18,1.01,3,1.01,2,1,1.01,3.05,0,18,5,1.01,1
16,27.2665,38,5,202,11,1,4,55,68,10.11,9,17.3,14,12,10.11,0,19,0,3,19.76,0
0,2.84822,17,13,114,13,5,0,78,47,0,13,0,6,1,0,2.04,3,80,9,1.29,1
3,12.0117,5,7,28,5,2,1,10,18,2.03,8,4.07,2,1,2.03,8.17,5,28,1,5.17,1
1,1.77712,2,1,8,2,9,0,1,4,0,1,0,2,2,2.03,2.05,1,176,2,0,1
3,17.2759,10,3,36,10,1,11,45,19,5.05,14,5.23,2,2,7.12,4.09,3,14,6,5.55,1
0,5.45209,168,14,644,37,1,11,666,305,0,24,1.06,1,1,0,1.01,0,6,13,3.13,1
2,3.17095,13,4,114,7,1,1,21,36,0,5,0,8,7,1.04,0,2,0,2,1.01,0
12,17.9211,177,28,588,35,2,2,595,234,6.13,29,8.18,27,14,6.13,2.03,19,18,8,12.25,1
4,10.3419,14,6,50,6,1,1,15,33,2.03,6,2.08,1,1,2.03,1.01,4,8,5,4.78,1
1,7.72196,6,3,43,4,6,1,6,21,1.01,4,1.01,0,0,1.01,5.37,1,103,1,1.11,1
0,0,3,3,21,3,1,1,3,11,0,4,0,2,2,0,0,1,0,3,0,1
2,3.54759,14,8,53,10,4,4,45,30,1.01,12,1.01,3,3,3.03,3.06,2,63,8,2.06,0
0,6.41569,1,0,4,1,1,3,0,2,0,3,0,0,0,1.01,0,0,0,1,0,1
0,4.41258,19,2,61,19,5,1,171,38,0,3,2.05,1,1,0,5.9,1,422,19,2.07,1
0,0,17,4,78,20,3,4,190,50,0,8,0,4,4,0,0,1,14,14,0,1
2,4.53091,15,3,40,6,3,4,15,32,0,7,1.03,1,0,5.35,2.02,2,10,3,1.07,1
6,14.5398,11,7,81,7,4,1,21,27,4.09,8,7.28,3,3,4.09,7.21,13,32,7,10.5,1
11,23.0656,28,11,153,12,1,7,66,65,7.1,18,9.37,5,5,13.18,0,13,0,4,8.05,1
0,3.17013,3,2,15,1,1,0,0,10,0,2,0,0,0,0,0,0,0,1,1.01,0
12,25.6709,70,11,222,26,4,7,325,133,2.03,18,10.41,9,9,13.16,9.14,12,122,20,11.75,1
1,3.0616,14,7,62,9,4,3,36,30,0,10,1.01,3,3,1.02,2.05,2,62,7,2.05,1
6,7.94205,0,0,0,0,1,0,0,0,0,0,0,81,1,0,0,13,0,0,0,1
0,4.57426,14,2,70,6,2,0,15,21,0,2,0,4,4,0,0,0,13,1,0,1
1,1.76682,8,2,39,6,1,1,15,19,0,3,0,1,0,0,0,1,0,4,0,1
0,5.33086,4,2,13,4,3,0,6,6,0,2,0,1,1,1.01,3.1,0,14,3,0,1
3,9.16954,3,2,11,4,8,2,6,7,0,4,0,1,1,1.01,8.13,3,160,4,0,1
0,3.15241,29,15,144,10,2,1,45,62,0,16,1.13,2,1,1.01,1.04,3,29,6,2.58,1
0,5.36088,21,10,73,7,5,7,21,41,0,16,1.02,1,1,3.03,4.11,1,71,5,1.01,1
1,4.88727,1,1,3,1,1,0,0,2,0,1,1.01,0,0,0,1.01,2,6,1,0,1
3,8.00679,24,4,140,12,2,1,66,49,0,5,4.09,2,2,0,2.02,5,18,6,4.36,0
1,6.42599,9,0,22,6,1,5,15,6,0,5,0,5,5,3.03,1.01,1,11,6,0,1
3,16.617,41,10,109,16,2,5,120,52,4.04,15,8.28,7,7,8.19,3.07,6,11,11,10.84,1
8,13.0943,60,25,281,16,1,0,120,182,6.16,25,5.58,4,4,6.16,1.01,8,6,4,6.71,0
15,17.978,125,25,379,26,1,52,325,227,5.1,75,9.91,5,1,13.25,0,18,6,22,12.81,0
22,42.0495,101,14,316,12,2,22,66,122,5.1,35,18.59,1,1,13.23,1.01,30,9,7,21.52,0
36,30.4541,286,21,945,55,3,1,1485,494,10.19,22,28.66,3,3,10.19,3.04,50,30,3,34.77,1
2,8.74592,7,1,34,7,4,7,21,13,0,8,1.03,0,0,4.04,3.03,3,31,2,2.05,1
1,6.4348,16,6,68,8,2,1,28,21,0,7,0,5,5,0,0,1,8,6,1.01,1
8,14.2492,139,37,582,33,1,9,528,273,4.05,46,7.59,9,2,5.06,1.01,10,6,6,8.44,0
0,11.7532,5,2,19,5,3,1,10,11,1.01,3,1.01,1,1,1.01,5.13,0,33,3,2.02,1
4,10.571,71,22,230,18,1,1,153,156,4.05,23,4.23,16,15,4.05,1.01,4,6,11,5.49,1
7,21.8404,86,25,416,18,2,1,153,205,10.25,26,12.51,1,1,10.25,2.02,8,11,1,15.66,0
3,13.3046,23,3,93,18,5,18,153,48,1.01,21,2.03,5,5,6.15,3.03,3,37,9,3.12,1
1,5.99307,10,0,30,11,1,8,55,11,0,8,0,11,5,1.01,1.01,1,6,11,0,1
1,6.05686,13,5,61,8,2,1,28,17,0,6,2.03,4,4,0,2.02,3,8,6,2.14,1
0,1.56044,5,0,17,5,1,1,10,11,0,1,0,1,1,0,0,2,0,5,0,1
14,26.5914,158,35,677,40,5,1,780,342,5.14,36,8.92,9,9,5.14,5.37,18,73,11,13.35,1
0,1.77712,3,1,10,3,2,2,3,6,0,3,0,0,0,0,1.01,0,11,2,0,1
10,23.6268,43,16,188,10,2,0,45,137,6.08,16,11.69,1,1,6.08,2.19,11,19,2,14.4,1
0,4.68802,4,1,20,3,1,1,3,8,0,2,0,2,2,0,0,0,0,3,0,1
0,1.77712,10,5,27,5,2,1,10,14,0,6,0,0,0,0,1.01,0,9,4,0,1
1,5.89435,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,3,6,0,0,1
0,1.56044,3,3,10,3,6,0,3,7,0,3,0,0,0,0,0,2,20,3,1.02,1
0,3.17095,8,0,25,9,1,1,36,19,0,1,0,5,1,0,0,0,6,6,1.01,1
7,12.4057,1,0,6,2,1,2,1,3,0,2,0,42,0,1.01,1.01,19,7,2,1.01,0
1,5.51129,14,2,53,7,2,0,21,33,2.02,2,1.01,2,2,2.02,2.02,1,10,6,1.02,1
1,1.56044,16,11,136,11,5,1,55,42,0,12,0,3,0,0,1.03,2,80,8,1.15,1
3,8.51529,21,8,63,9,4,19,36,47,1.01,27,3.04,6,0,3.03,2.04,5,72,2,3.06,1
0,4.75414,45,12,176,18,3,1,153,84,0,13,1.04,3,3,0,3.04,0,21,11,2.08,1
0,5.35698,6,2,24,5,1,2,10,11,1.02,4,1.08,1,0,2.02,0,0,0,5,2.15,1
0,3.18664,3,1,32,3,1,1,3,6,0,2,0,2,2,0,0,0,0,2,1.02,1
7,20.3477,15,7,59,5,3,1,10,31,4.14,8,4.41,1,1,5.16,3.04,8,21,1,4.41,0
0,3.18664,5,2,16,4,3,1,6,9,0,3,0,1,0,0,3.1,0,14,3,0,1
2,8.69863,2,2,10,2,1,1,1,7,0,3,1.01,2,2,0,0,2,0,2,1.02,1
4,12.6078,25,11,79,14,5,4,91,55,1.01,15,6.24,2,2,1.01,9.7,5,211,14,5.24,1
