LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,LOC_TOTAL,Defective
16,13,1,20,7,8,2.5,3,22,6,23,36.88,23.03,19562.81,149,1086.82,849.37,6,10,17,68,81,31,21,57,29,0
2,7,0,10,4,4,2.5,1,11,4,14,15.93,7.2,825.94,31,45.89,114.71,3,5,9,9,22,5,8,24,14,1
1,13,5,22,7,10,2.2,4,28,7,19,25.13,19,9073.67,91,504.09,477.56,6,11,23,38,53,19,19,21,19,0
8,3,1,4,2,2,2,2,6,1,14,31.97,10.95,3831.58,70,212.87,350,1,2,6,32,38,19,13,24,14,0
1,5,2,6,3,2,3,2,10,3,19,30.43,9.95,3010.71,60,167.26,302.66,2,3,9,27,33,19,14,23,20,0
14,11,7,20,6,10,2,1,29,1,29,42.97,21.15,19213.78,161,1067.43,908.66,5,10,25,69,92,31,19,58,29,0
6,5,3,8,3,4,2,2,11,1,12,25.16,11.2,3155.74,58,175.32,281.76,2,4,10,24,34,15,14,21,13,0
20,13,13,12,9,6,2,9,35,1,54,56.78,18.93,20355.23,176,1130.85,1075.1,3,6,28,71,105,45,24,94,54,0
6,5,1,8,3,4,2,2,9,1,5,12.29,11.25,1555.89,32,86.44,138.3,2,4,8,15,17,8,12,16,6,0
33,16,9,16,10,6,2.67,8,33,5,33,48.11,16.19,12617.28,133,700.96,779.11,5,8,25,53,80,36,22,102,45,0
1,5,1,6,3,2,3,2,9,3,7,13.8,7.86,851.86,26,47.33,108.42,2,3,8,10,16,7,11,9,7,0
0,3,1,4,2,2,2,2,7,1,4,8.57,5.25,236.11,13,13.12,44.97,1,2,7,6,7,4,7,5,4,0
2,5,3,8,3,4,2,3,15,1,14,33.76,11.7,4621.5,79,256.75,395,2,4,14,39,40,20,12,19,15,0
13,11,1,20,6,10,2,2,23,1,26,56.04,22.34,27977.56,228,1554.31,1252.14,5,10,19,110,118,32,13,52,30,0
1,35,6,52,18,18,2.89,6,58,13,26,37.58,34.62,45032.28,224,2501.79,1300.85,17,26,42,107,117,34,22,28,26,0
57,129,24,252,65,124,2.02,41,276,34,179,150.67,48.83,359267.3,981,19959.29,7357.35,64,126,213,438,543,148,33,252,186,0
6,9,0,16,5,8,2,1,17,5,23,22.35,17,6460,76,358.89,380,4,8,14,30,46,15,17,30,23,0
5,10,5,10,6,4,2.5,5,23,1,28,38.67,25.92,25983.73,175,1443.54,1002.39,3,5,19,79,96,32,21,39,29,0
5,5,3,8,3,4,2,3,14,1,14,19.08,9.9,1869.81,43,103.88,188.87,2,4,13,18,25,10,11,22,15,0
22,23,1,40,12,18,2.22,6,42,4,23,50.37,18.03,16367.05,155,909.28,907.99,11,20,32,74,81,39,19,69,27,1
1,7,0,12,4,6,2,1,14,1,26,47.13,21.56,21902.46,185,1216.8,1015.99,3,6,12,59,126,26,19,28,26,0
0,11,3,20,6,10,2,4,26,1,22,33.56,12.02,4852.71,80,269.59,403.55,5,10,22,37,43,20,13,23,22,0
1,3,0,4,2,2,2,1,6,1,8,12.48,8.33,866.67,26,48.15,104,1,2,6,10,16,6,10,10,8,0
1,7,0,12,4,6,2,1,15,1,10,6.88,24.38,4084.91,41,226.94,167.59,3,6,13,15,26,4,13,12,10,0
2,9,5,12,5,4,3,5,18,4,20,23.94,16.5,6517.5,79,362.08,395,4,6,15,33,46,16,16,23,20,0
13,9,0,16,5,8,2,1,18,5,23,28.71,23.33,15633.33,134,868.52,670,4,8,15,60,74,18,14,42,23,0
1,13,2,22,7,10,2.2,3,24,1,27,18.92,19.63,7291.52,73,405.08,371.38,6,11,19,31,42,15,19,29,27,0
24,15,4,26,8,12,2.17,7,37,4,54,75.27,22.24,37216.01,274,2067.56,1673.74,7,13,31,126,148,51,18,100,61,0
15,9,4,14,5,6,2.33,3,21,3,31,61.27,44.61,121958.52,446,6775.47,2733.66,4,7,18,151,295,44,26,63,45,0
0,7,2,12,4,6,2,3,13,1,17,25.96,11.15,3229.13,64,179.4,289.51,3,6,11,29,35,13,10,18,17,0
0,3,0,4,2,2,2,1,5,1,5,7.24,16.88,2060.67,33,114.48,122.11,1,2,5,15,18,4,9,6,5,0
1,9,0,16,5,8,2,1,18,5,11,8.42,20.4,3502.14,42,194.56,171.67,4,8,15,17,25,5,12,13,11,0
0,3,0,4,2,2,2,1,6,1,0,13.29,3,119.59,12,6.64,39.86,1,2,6,4,8,4,6,1,0,0
6,3,0,4,2,2,2,1,6,1,10,20.54,7.7,1217.55,36,67.64,158.12,1,2,6,14,22,10,11,20,10,0
18,9,1,12,5,4,3,2,14,5,13,16.54,12.36,2527.87,43,140.44,204.46,4,6,11,17,26,11,16,32,13,0
0,5,2,8,3,4,2,3,10,3,4,12.61,6.75,574.49,23,31.92,85.11,2,4,9,6,17,4,9,5,4,0
18,19,2,30,10,12,2.5,5,32,7,29,53.13,18.65,18483.6,173,1026.86,990.93,9,15,24,79,94,36,17,60,32,0
3,5,5,8,3,4,2,3,12,3,22,35.61,11.67,4847.17,81,269.29,415.47,2,4,11,35,46,21,14,28,23,0
3,3,0,4,2,2,2,1,6,1,4,11.42,7.33,614.25,22,34.13,83.76,1,2,6,11,11,6,8,8,4,0
5,3,2,4,2,2,2,2,8,1,8,19.72,4,315.48,22,17.53,78.87,1,2,8,8,14,6,6,21,9,0
36,13,3,22,7,10,2.2,6,28,6,48,79.19,19.4,29800.23,243,1655.57,1536.23,6,11,23,109,134,59,21,122,58,1
1,13,1,24,7,12,2,3,25,1,17,12.97,39.75,20489.85,111,1138.33,515.47,6,12,20,53,58,10,15,20,17,0
17,11,1,16,6,6,2.67,3,18,6,18,36.66,13.45,6637.2,94,368.73,493.31,5,8,14,37,57,22,16,47,22,1
4,3,0,4,2,2,2,1,5,1,6,14.8,8.56,1083.64,28,60.2,126.66,1,2,5,11,17,9,14,11,6,0
4,5,0,8,3,4,2,1,12,1,13,16.82,11.11,2076.76,44,115.38,186.91,2,4,11,20,24,9,10,24,13,0
1,5,1,8,3,4,2,2,10,3,8,10.76,14.86,2375.83,37,131.99,159.91,2,4,9,16,21,7,13,10,8,0
4,21,2,34,11,14,2.43,3,39,5,29,26.43,34.72,31867.04,161,1770.39,917.77,10,17,30,75,86,27,25,35,29,0
60,3,8,4,2,2,2,2,14,1,23,74.64,13.81,14241.04,180,791.17,1031.03,1,2,14,85,95,40,13,126,31,1
4,3,4,4,2,2,2,2,11,1,19,49.17,9.13,4099.12,89,227.73,448.95,1,2,11,42,47,23,10,24,19,0
2,15,0,28,8,14,2,1,29,8,22,15.12,25.5,9828.72,83,546.04,385.44,7,14,23,34,49,10,15,25,22,0
24,21,7,40,11,20,2,8,45,1,52,100.29,13.93,19463.42,225,1081.3,1397.13,10,20,36,101,124,58,16,104,60,0
36,25,8,44,13,20,2.2,8,50,6,44,75.71,19.73,29480.66,237,1637.81,1494,12,22,39,109,128,58,21,117,56,1
4,21,2,40,11,20,2,6,43,1,21,24.3,27,17711.76,125,983.99,655.99,10,20,34,60,65,20,18,26,21,0
1,3,1,4,2,2,2,1,7,1,8,13.56,5.33,385.81,19,21.43,72.34,1,2,7,8,11,6,8,10,8,0
3,13,4,24,7,12,2,7,27,6,22,36.01,13.42,6486.52,95,360.36,483.31,6,12,22,34,61,19,15,31,27,0
1,3,2,4,2,2,2,2,5,1,4,13.87,4.67,302.05,17,16.78,64.73,1,2,5,7,10,6,8,7,5,0
1,5,0,8,3,4,2,1,9,1,10,20,6,720,30,40,120,2,4,8,12,18,8,8,12,10,0
13,5,1,8,3,4,2,1,19,1,36,49.13,19.76,19184.32,185,1065.8,970.87,2,4,18,76,109,25,13,62,36,0
7,25,10,42,13,18,2.33,10,47,5,71,70.93,18.61,24562.78,210,1364.6,1319.93,12,23,36,89,121,55,23,99,75,1
4,7,4,12,4,6,2,3,16,1,12,40.37,13,6822.31,100,379.02,524.79,3,6,14,50,50,25,13,22,13,0
1,3,4,4,2,2,2,2,10,1,10,20.81,9,1685.67,42,93.65,187.3,1,2,10,18,24,11,11,12,10,0
8,143,14,264,73,128,2.06,60,357,15,139,123.47,68.57,580469.3,1130,32248.29,8465.79,68,132,286,530,600,143,37,151,142,0
1,5,1,6,3,2,3,1,9,3,15,30.72,25.5,19978.47,154,1109.91,783.47,2,3,8,51,103,17,17,17,15,0
18,9,8,16,5,8,2,5,40,1,49,72.48,20.68,31004.8,257,1722.49,1499.05,4,8,37,106,151,41,16,80,51,1
1,7,0,12,4,6,2,1,14,3,14,15.86,13.3,2805.08,46,155.84,210.91,3,6,12,19,27,10,14,16,14,0
2,7,1,12,4,6,2,2,14,3,9,10.4,19,3755.43,45,208.64,197.65,3,6,12,19,26,7,14,12,9,0
1,5,0,8,3,4,2,1,10,1,10,13.96,11.67,1899.9,36,105.55,162.85,2,4,9,15,21,9,14,13,11,0
2,7,0,12,4,6,2,1,16,1,14,21.83,21.53,10120.67,94,562.26,470,3,6,14,38,56,15,17,17,14,0
5,67,16,130,34,64,2.02,30,153,17,90,179.17,21.38,81861.96,548,4547.89,3829.8,33,65,121,243,305,108,19,98,91,0
2,7,1,12,4,6,2,2,14,4,7,7.8,19.6,2997.34,36,166.52,152.93,3,6,12,14,22,5,14,10,7,0
22,13,7,22,7,10,2.2,6,28,4,33,71.6,13.86,13750.99,166,763.94,992.23,6,11,23,75,91,46,17,66,43,1
33,7,2,12,4,6,2,4,19,1,18,43.02,9.88,4199.81,81,233.32,425.08,3,6,17,38,43,25,13,75,22,0
4,3,0,4,2,2,2,1,5,1,6,21.76,5.25,599.66,30,33.31,114.22,1,2,5,14,16,8,6,12,7,0
1,7,0,8,4,2,4,1,10,4,9,17.8,12.28,2682.84,49,149.05,218.51,3,4,8,17,32,9,13,11,9,0
3,19,12,34,10,16,2.13,8,62,3,45,48.13,38.75,72273.89,291,4015.22,1865.13,9,17,54,135,156,54,31,49,45,0
13,37,8,72,19,36,2,16,85,5,41,88.36,21.82,42062.82,300,2336.82,1927.88,18,36,68,144,156,66,20,55,41,0
23,9,4,16,5,8,2,4,25,1,31,90.58,12.32,13749.12,186,763.84,1116,4,8,22,88,98,50,14,77,37,1
5,11,0,18,6,8,2.25,1,20,3,21,35.4,12.07,5158.69,84,286.59,427.35,5,9,16,39,45,21,13,33,25,0
5,69,8,130,35,62,2.1,11,141,19,65,70.75,49.5,173359.85,526,9631.1,3502.22,34,65,108,204,322,68,33,80,65,0
0,5,3,6,3,2,3,2,9,3,6,19.25,6.5,813.14,30,45.17,125.1,2,3,8,13,17,9,9,7,6,0
2,7,0,12,4,6,2,1,13,4,6,7.22,13.33,1282.82,26,71.27,96.21,3,6,11,8,18,3,10,9,6,0
10,11,1,16,6,6,2.67,4,17,3,9,33.68,10.74,3883.05,73,215.72,361.66,5,8,13,34,39,19,12,20,9,1
9,17,6,30,9,14,2.14,4,39,7,29,58.4,14.93,13015,147,723.06,871.82,8,15,32,66,81,42,19,51,33,0
10,3,1,4,2,2,2,1,6,1,6,22.54,6.14,848.67,32,47.15,138.3,1,2,6,15,17,11,9,32,6,0
3,5,2,4,3,2,2,3,10,1,18,23.37,9.15,1958.65,45,108.81,213.97,1,2,9,17,28,13,14,30,22,0
1,5,0,8,3,4,2,1,10,1,10,12.7,16.25,3354.63,47,186.37,206.44,2,4,9,20,27,8,13,13,11,0
4,43,22,82,22,40,2.05,21,118,12,73,98.77,30.8,93697.55,442,5205.42,3042.13,21,41,98,198,244,90,28,83,77,0
1,13,4,16,7,4,4,6,21,7,15,26.3,11.7,3599.75,64,199.99,307.67,6,8,16,27,37,15,13,18,15,0
15,5,4,8,3,4,2,3,11,1,14,49.71,9.92,4895.11,94,271.95,493.31,2,4,10,43,51,26,12,56,15,0
1,19,10,16,13,8,2,9,51,3,43,47.44,23.4,25974,185,1443,1110,4,8,40,78,107,40,24,45,43,0
4,3,0,4,2,2,2,1,5,1,6,14.14,5.25,389.71,19,21.65,74.23,1,2,5,7,12,6,9,13,7,0
17,13,2,22,7,10,2.2,3,26,6,26,43.02,27.35,32179.65,200,1787.76,1176.53,6,11,21,92,108,37,22,57,31,0
5,19,1,36,10,18,2,2,42,6,43,40.83,24.08,23672.68,186,1315.15,983.08,9,18,34,86,100,25,14,54,46,0
30,21,7,40,11,20,2,5,49,7,46,58.55,21.92,28134.83,222,1563.05,1283.46,10,20,40,98,124,38,17,111,53,1
1,5,4,8,3,4,2,3,11,1,9,24,4.67,522.66,28,29.04,112,2,4,10,12,16,9,7,11,9,0
9,7,3,12,4,6,2,4,14,1,10,29.06,6.54,1242.24,42,69.01,189.99,3,6,12,17,25,13,10,29,13,0
4,11,5,18,6,8,2.25,4,26,4,18,34.93,12.73,5658.72,86,314.37,444.61,5,9,22,40,46,22,14,45,18,0
2,17,0,32,9,16,2,1,33,1,2,85.3,11,10321.01,168,573.39,938.27,8,16,26,74,94,37,11,19,16,1
0,3,1,4,2,2,2,2,6,1,12,26.06,4,416.99,25,23.17,104.25,1,2,6,10,15,10,8,13,12,0
2,13,2,20,7,8,2.5,5,24,6,13,7.8,43.5,14758.99,74,819.94,339.29,6,10,19,29,45,6,18,16,13,0
21,19,3,32,10,14,2.29,5,39,3,45,59.99,23.54,33237.05,226,1846.5,1412.03,9,16,31,102,124,52,24,83,51,0
8,3,3,4,2,2,2,2,10,1,8,23.66,7.92,1482.76,42,82.38,187.3,1,2,10,19,23,12,10,17,8,0
4,11,2,18,6,8,2.25,2,21,3,19,17.53,23.33,9541.89,87,530.11,408.94,5,9,17,40,47,12,14,24,19,0
53,21,5,38,11,18,2.11,8,52,4,73,132.29,22.53,67179.31,444,3732.18,2981.13,10,19,43,204,240,86,19,161,85,1
0,3,1,6,2,2,3,1,6,1,3,9.49,3.5,116.27,10,6.46,33.22,2,3,6,3,7,3,7,4,3,0
1,7,1,12,4,6,2,1,15,1,16,13.27,21,5851.26,60,325.07,278.63,3,6,13,28,32,10,15,18,16,0
10,9,3,16,5,8,2,4,18,1,11,30.6,10.95,3667.37,67,203.74,335,4,8,15,32,35,19,13,29,15,1
10,7,2,14,4,6,2.33,3,14,1,11,23.9,19.68,9260.7,91,514.48,470.46,4,7,12,44,47,19,17,26,12,1
0,3,1,4,2,2,2,1,8,1,8,16.53,7.5,930,31,51.67,124,1,2,8,15,16,8,8,9,8,0
1,9,1,12,5,6,2,5,14,5,10,14.4,16,3685.14,49,204.73,230.32,3,6,11,20,29,10,16,14,10,0
1,3,1,4,2,2,2,2,8,1,11,22.15,6.4,907.38,34,50.41,141.78,1,2,8,16,18,10,8,13,11,0
1,3,0,4,2,2,2,1,7,1,8,16.35,11.5,2162,47,120.11,188,1,2,7,23,24,8,8,10,8,0
2,15,4,20,9,10,2,7,33,4,18,19.75,23.8,11186,94,621.44,470,5,10,26,42,52,15,17,44,21,0
25,3,1,4,2,2,2,1,8,1,21,46.11,14.5,9695.39,124,538.63,668.65,1,2,8,58,66,28,14,57,21,0
4,20,8,24,12,12,2,5,48,1,43,47.52,28.6,38870.09,221,2159.45,1359.09,6,12,38,99,122,45,26,52,45,0
9,13,0,24,7,12,2,1,30,1,33,48.23,21,21270.06,176,1181.67,1012.86,6,12,25,84,92,36,18,44,34,0
1,7,0,12,4,6,2,1,13,3,7,13.83,11.25,1750.38,36,97.24,155.59,3,6,11,15,21,8,12,9,7,0
28,9,4,16,5,8,2,5,23,1,32,99.95,11.96,14297.65,200,794.31,1195.46,4,8,20,92,108,50,13,89,37,1
0,3,0,4,2,2,2,1,7,1,7,11.76,11.33,1510.25,35,83.9,133.26,1,2,7,17,18,6,8,8,7,0
1,3,0,4,2,2,2,1,5,1,7,14.51,4.2,255.97,17,14.22,60.94,1,2,5,6,11,5,7,9,7,0
3,5,1,8,3,4,2,2,9,1,9,13.27,11.25,1679.37,33,93.3,149.28,2,4,8,12,21,8,15,13,9,0
7,25,10,44,13,22,2,9,51,6,34,68.44,31.61,68400.43,353,3800.02,2163.64,11,22,40,107,246,44,26,42,34,0
4,7,3,12,4,6,2,4,14,1,16,25.4,12.79,4158.09,65,231,325,3,6,12,29,36,17,15,22,16,0
1,3,0,4,2,2,2,1,5,1,20,47.51,25.6,31133.81,227,1729.66,1216.16,1,2,5,80,147,25,16,22,20,0
2,13,4,24,7,12,2,2,30,3,29,28.86,20.94,12659.07,122,703.28,604.41,6,12,25,58,64,18,13,32,29,0
19,11,7,20,6,10,2,4,26,1,34,51.05,19.74,19886.3,172,1104.79,1007.57,5,10,22,75,97,38,20,68,34,1
0,13,0,18,7,6,3,1,19,7,7,23.57,7.11,1191.72,41,66.21,167.59,6,9,14,16,25,9,8,8,7,0
28,11,3,20,6,10,2,5,26,1,25,65.18,9.85,6318.58,111,351.03,641.73,5,10,22,48,63,39,16,80,34,0
13,5,8,8,3,4,2,2,22,1,20,50.44,8.5,3644.57,85,202.48,428.77,2,4,21,34,51,22,11,48,21,1
7,85,7,168,43,84,2,27,232,18,136,170.88,39.94,272550.45,920,15141.69,6824.42,42,84,191,426,494,144,27,148,140,0
4,53,6,100,27,48,2.08,23,124,19,62,88.96,33,96874.9,450,5381.94,2935.6,26,50,99,210,240,70,22,67,62,0
13,9,7,16,5,8,2,3,33,1,50,106.51,20,42604.83,325,2366.93,2130.24,4,8,30,148,177,74,20,107,51,1
7,31,4,56,16,26,2.15,6,68,11,28,33.74,35.21,41834.57,198,2324.14,1188,15,28,54,85,113,35,29,55,35,0
14,9,4,16,5,8,2,2,21,1,28,41.8,17.61,12957.24,134,719.85,735.91,4,8,18,58,76,28,17,53,28,0
12,17,4,32,9,16,2,2,44,1,137,154.38,37.66,218997.95,832,12166.55,5814.59,8,16,37,403,429,107,20,178,137,0
0,3,2,4,2,2,2,2,8,1,9,16.25,8.89,1283.82,34,71.32,144.43,1,2,8,16,18,9,10,10,9,0
10,5,2,8,3,4,2,1,12,1,9,33.57,11,4062.39,72,225.69,369.31,2,4,11,33,39,21,14,29,10,0
3,9,3,14,5,6,2.33,3,20,3,26,30.81,17.22,9132.06,99,507.34,530.4,4,7,17,44,55,23,18,36,30,0
2,143,8,186,72,88,2.11,71,221,70,58,89.69,33.23,99019.72,483,5501.1,2980.07,49,93,151,215,268,55,17,61,58,0
3,26,4,32,14,10,3.2,5,43,9,38,39.75,37.71,56535.7,257,3140.87,1499.05,11,16,31,120,137,35,22,47,42,1
24,7,4,12,4,6,2,4,19,1,31,44.69,18.75,15711.84,147,872.88,837.96,3,6,17,60,87,32,20,70,33,1
1,5,0,8,3,4,2,1,10,3,16,15.53,18.9,5545.97,64,308.11,293.44,2,4,9,27,37,10,14,18,16,0
6,5,4,8,3,4,2,3,12,1,14,43.72,7.5,2459.14,65,136.62,327.89,2,4,11,30,35,22,11,29,15,0
8,3,4,4,2,2,2,2,9,1,12,24.49,6,881.67,34,48.98,146.95,1,2,9,12,22,10,10,38,12,0
13,7,2,10,4,4,2.5,3,13,3,14,31.36,10.11,3205.92,64,178.11,317.07,3,5,11,28,36,18,13,32,18,0
13,15,3,24,8,10,2.4,6,34,5,38,59.63,25.26,38050.55,252,2113.92,1506.27,7,12,28,117,135,44,19,58,39,0
1,7,0,10,4,4,2.5,1,12,3,13,22.43,10.08,2280.63,50,126.7,226.18,3,5,10,22,28,12,11,17,14,0
3,3,0,4,2,2,2,1,6,1,5,10.41,6.4,426.29,18,23.68,66.61,1,2,6,8,10,5,8,10,5,0
4,15,1,26,8,12,2.17,2,32,4,20,15.74,26.13,10742.56,83,596.81,411.2,7,13,26,33,50,12,19,27,21,0
6,5,2,8,3,4,2,1,19,1,16,50.16,27.35,37530.39,247,2085.02,1371.98,2,4,18,106,141,31,16,43,21,0
2,3,0,4,2,2,2,1,6,1,5,6.5,6,234,13,13,39,1,2,6,4,9,2,6,8,5,0
12,5,1,8,3,4,2,2,11,1,10,15.75,12.35,2402.24,43,133.46,194.51,2,4,10,19,24,10,13,33,12,0
7,7,1,10,4,4,2.5,2,11,1,11,19.24,17.68,6011.75,70,333.99,340.06,3,5,9,33,37,14,15,24,13,0
6,3,6,4,2,2,2,2,11,1,10,40.52,5.75,1339.69,49,74.43,232.99,1,2,11,23,26,18,9,28,12,1
11,5,2,8,3,4,2,2,18,1,25,25.67,18.53,8812.64,96,489.59,475.6,2,4,17,45,51,17,14,63,29,0
1,5,1,8,3,4,2,1,10,1,7,11.62,9.75,1104.67,29,61.37,113.3,2,4,9,13,16,6,9,9,7,0
14,3,3,4,2,2,2,2,9,1,9,32.85,9.12,2731.26,63,151.74,299.56,1,2,9,31,32,17,10,35,11,0
14,10,1,6,7,2,3,2,20,3,28,29.63,16.28,7847.47,90,435.97,482.18,2,3,15,31,59,20,21,48,30,0
16,13,2,22,7,10,2.2,4,24,4,20,47.71,15.97,12167.64,135,675.98,761.92,6,11,19,62,73,33,17,52,24,1
5,7,2,10,4,4,2.5,3,11,4,13,28.06,10.56,3130.06,61,173.89,296.34,3,5,9,26,35,16,13,23,14,0
22,12,9,12,7,6,2,6,30,1,26,42.74,11.03,5204.26,84,289.13,471.64,3,6,25,32,52,29,20,88,32,0
10,11,7,16,6,8,2,6,25,4,36,37,27.73,28450.7,171,1580.59,1026,4,8,21,76,95,37,27,49,38,0
2,9,5,16,5,8,2,5,24,5,23,23.67,23,12520.25,107,695.57,544.36,4,8,21,46,61,17,17,27,24,0
25,49,0,96,25,48,2,1,121,1,108,1295.68,12.3,195940.93,1879,10885.61,15933.51,24,48,98,951,928,348,9,158,132,0
0,3,0,4,2,2,2,1,5,1,6,10.04,5,250.95,14,13.94,50.19,1,2,5,5,9,4,8,7,6,0
4,5,2,8,3,4,2,2,11,1,14,31.7,10.47,3476.06,67,193.11,331.93,2,4,10,29,38,18,13,21,16,0
8,5,0,8,3,2,4,1,7,1,6,17.75,9.9,1739.36,40,96.63,175.69,3,4,6,18,22,10,11,24,7,0
4,3,3,4,2,2,2,2,7,1,6,23.63,6,850.66,34,47.26,141.78,1,2,7,15,19,10,8,11,6,0
1,3,0,4,2,2,2,1,5,1,9,17.71,14,3472,62,192.89,248,1,2,5,28,34,8,8,11,9,0
1,7,0,12,4,6,2,1,14,1,13,14.3,23.27,7746.14,70,430.34,332.84,3,6,12,32,38,11,16,16,13,0
2,9,1,14,5,6,2.33,4,18,4,8,7.35,21.12,3281.21,38,182.29,155.32,4,7,15,13,25,4,13,11,8,0
15,5,1,8,3,4,2,1,10,1,49,102.96,17.5,31530.62,285,1751.7,1801.75,2,4,9,140,145,64,16,69,51,1
1,11,2,18,6,8,2.25,2,21,6,18,22.75,20,9099.07,88,505.5,454.95,5,9,17,40,48,18,18,20,18,0
2,5,1,8,3,4,2,1,12,1,13,18.54,16.14,4839.01,63,268.83,299.56,2,4,11,30,33,13,14,16,13,0
2,3,2,4,2,2,2,2,8,1,15,25.27,11.39,3280.22,62,182.23,287.92,1,2,8,29,33,14,11,18,15,0
1,5,1,8,3,4,2,2,9,1,9,10.79,14.57,2290.24,37,127.24,157.17,2,4,8,17,20,7,12,12,9,0
