BRANCH_COUNT,CYCLOMATIC_COMPLEXITY,DECISION_COUNT,DESIGN_DENSITY,EDGE_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LENGTH,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
3,2,2,0.5,6,5,16,6.5,676,26,37.56,104,2,6,13,13,8,8,7,0,5,0
9,5,8,1,28,43,69.49,14.01,13645.26,170,758.07,973.75,8,25,71,99,38,15,74,28.33,43,1
3,2,2,1,7,21,35.54,10.17,3679.85,73,204.44,361.66,2,7,37,36,20,11,30,12.5,21,0
8,5,4,1,17,20,31.91,7.6,1842.99,51,102.39,242.5,4,14,19,32,15,12,24,0,20,0
3,2,2,1,6,9,18.23,3.86,271.19,19,15.07,70.31,2,6,9,10,7,6,11,0,9,0
5,3,4,1,19,19,26.1,10.71,2996.6,61,166.48,279.68,4,18,30,31,14,10,44,44.12,19,0
3,2,2,1,13,19,64.34,4.45,1276.77,59,70.93,286.62,2,13,28,31,22,7,29,9.52,19,0
3,2,2,1,9,12,15.07,9.75,1432.72,34,79.6,146.95,2,9,13,21,8,12,20,29.41,12,0
3,2,2,1,7,6,25.16,2.5,157.27,17,8.74,62.91,2,7,8,9,8,5,8,14.29,6,0
5,3,4,1,15,16,43.23,5.5,1307.59,50,72.64,237.74,4,14,22,28,18,9,26,11.11,16,0
5,3,2,1,24,23,88.98,6.22,3442.96,102,191.28,553.48,2,23,47,55,34,9,32,11.54,23,0
7,4,4,1,30,24,103.04,5.37,2972.97,102,165.17,553.48,4,28,47,55,35,8,31,7.69,24,0
5,3,4,0.33,9,9,10.63,11.92,1509.98,31,83.89,126.71,4,8,13,18,6,11,20,40,9,0
5,3,4,1,21,48,63.45,13.77,12025.31,160,668.07,873.51,4,20,59,101,30,14,65,7.69,48,0
5,3,4,0.33,10,12,27.78,4.67,605.07,30,33.61,129.66,4,9,14,16,12,8,18,14.29,12,0
5,3,2,0.67,18,17,61.4,11.09,7552.8,124,419.6,680.99,3,17,61,63,33,12,39,37.04,17,0
5,3,4,1,13,20,42.85,5.83,1458.23,52,81.01,249.98,4,12,21,31,18,10,22,0,20,0
7,4,6,0.75,15,12,30.19,5.92,1059.13,39,58.84,178.81,6,13,14,25,13,11,15,0,12,1
5,3,4,1,12,8,34.55,3.5,423.25,29,23.51,120.93,4,11,14,15,12,6,12,0,8,0
5,3,4,0.67,12,27,35.26,21.24,15905.03,138,883.61,748.82,4,11,59,79,25,18,42,15.63,27,0
8,6,2,1,17,19,36.77,10.91,4375.94,77,243.11,401.13,2,13,32,45,22,15,22,0,19,0
13,7,12,0.86,31,31,62.84,11.23,7918.85,130,439.94,705.41,12,26,58,72,31,12,44,16.21,31,0
7,4,6,0.75,16,15,18.89,9.82,1820.94,41,101.16,185.47,6,14,18,23,11,12,20,6.25,15,0
15,8,12,0.88,37,34,47.8,16.05,12318.72,131,684.37,767.4,13,31,61,70,38,20,43,5.56,34,0
3,2,2,1,8,14,26.83,6.92,1285.99,40,71.44,185.75,2,8,15,25,13,12,18,0,14,0
3,2,2,0.5,7,10,14.32,7.71,852.01,26,47.33,110.45,2,7,9,17,7,12,13,9.09,10,0
39,20,4,1,63,37,97.07,6.18,3709.37,112,206.08,600.05,20,45,51,61,33,8,45,9.76,38,0
35,18,18,0.44,74,61,76.37,23.23,41194.43,276,2288.58,1773.65,48,58,120,156,62,24,83,11.59,61,0
3,2,2,1,7,9,19.51,8,1248.64,35,69.37,156.08,2,7,16,19,11,11,16,30.77,9,0
7,4,6,1,22,31,64.76,7.4,3542.75,90,196.82,478.97,6,20,39,51,29,11,37,6.06,31,0
5,3,4,1,11,12,42.23,6.94,2036.45,61,113.14,293.25,4,10,25,36,18,10,20,25,12,0
17,9,12,0.33,39,31,52.98,20.54,22355.6,190,1241.98,1088.3,15,32,87,103,36,17,52,24.39,31,0
16,9,10,0.44,33,29,18.35,26,12402.61,93,689.03,477.02,12,26,39,54,15,20,43,14.71,29,0
17,9,14,1,55,55,175.1,7.86,10809.44,217,600.52,1375.75,14,48,100,117,70,11,83,16.67,55,1
15,8,12,1,56,44,121.61,9.12,10120.84,181,562.27,1109.4,12,50,80,101,57,13,73,20,44,1
3,2,2,1,12,11,56.19,3,505.67,39,28.09,168.56,2,12,18,21,15,5,17,8.33,11,0
7,4,6,1,15,13,21.23,5.5,642.17,28,35.68,116.76,6,13,11,17,9,9,21,23.53,13,0
3,2,2,1,7,10,18.91,5.5,572,26,31.78,104,2,7,11,15,8,8,14,16.67,10,0
16,9,12,0.11,43,40,54.41,25.41,35137.98,245,1952.11,1382.74,12,36,108,137,34,16,54,11.11,40,0
24,14,14,0.79,88,82,99.15,21.29,44929.28,322,2496.07,2110.58,16,76,148,174,73,21,126,17.17,83,0
13,7,10,0.86,26,25,32.88,10.95,3941.05,72,218.95,360,11,21,32,40,19,13,37,19.35,25,0
9,5,6,0.8,18,15,40.48,7.2,2098.65,60,116.59,291.48,7,15,32,28,20,9,24,21.05,15,0
5,3,4,1,10,9,19.56,4.5,396,22,22,88,4,9,9,13,8,8,17,35.71,9,0
25,21,6,1,58,67,71.63,20.1,28928.56,224,1607.14,1439.48,6,39,79,145,57,29,91,2.9,67,0
5,3,4,1,11,12,30.45,4.62,648.71,32,36.04,140.55,4,10,15,17,13,8,14,0,12,0
5,3,4,1,12,16,23.2,12.5,3624.82,57,201.38,289.99,4,11,25,32,17,17,26,20,16,0
5,3,2,0.67,10,17,35.86,9.9,3514.5,71,195.25,355,3,9,33,38,20,12,21,5.56,17,0
22,12,12,0.58,59,57,55.49,25.96,37407.34,226,2078.19,1440.76,15,49,102,124,55,28,97,22.97,57,1
7,4,6,0.75,22,29,48.34,11.15,6010.8,96,333.93,539.01,6,20,46,50,33,16,47,21.62,29,1
9,5,8,0.4,21,14,17.84,14.5,3750.38,58,208.35,258.64,8,18,29,29,11,11,21,22.22,14,0
3,2,2,1,8,9,13.59,10.67,1546.1,33,85.89,144.95,2,8,16,17,9,12,22,50,9,0
20,16,6,0.31,46,50,60.97,25.55,39787.9,243,2210.44,1557.48,6,32,89,154,54,31,84,25.37,50,0
17,9,12,0.78,55,50,66.78,20.93,29266.83,233,1625.93,1398,13,48,107,126,46,18,78,24.24,50,0
29,15,28,1,75,31,116.24,14.08,23049.99,276,1280.56,1636.88,28,62,115,161,49,12,42,6.06,31,0
33,17,24,0.65,93,64,122.45,14.22,24755.65,277,1375.31,1741.06,28,78,130,147,64,14,85,5.88,64,1
3,2,2,1,8,20,48.42,7.26,2552.29,68,141.79,351.55,2,8,33,35,25,11,27,9.09,20,1
3,2,2,0.5,7,7,11.47,5,286.8,16,15.93,57.36,2,7,5,11,4,8,13,22.22,7,0
5,3,4,1,20,44,58.61,15.28,13683.04,151,760.17,895.54,4,19,73,78,43,18,65,18.52,47,0
19,10,18,0.6,42,32,45.5,17.38,13744.03,144,763.56,790.83,18,34,63,81,29,16,38,0,32,0
5,3,4,1,20,20,88.39,4.9,2125.07,82,118.06,433.4,4,19,38,44,31,8,38,23.08,20,0
7,5,2,1,17,29,34.65,11.83,4846.19,77,269.23,409.79,2,14,32,45,23,17,43,17.14,29,0
3,2,2,1,7,5,21.19,3.21,218.94,19,12.16,68.11,2,7,9,10,7,5,6,0,5,0
3,2,2,1,10,10,58.84,4.17,1021.56,51,56.75,245.18,2,10,25,26,21,7,18,16.67,10,0
15,13,2,1,40,53,58.74,23.3,31875.39,224,1770.86,1368.31,2,29,82,142,44,25,72,7.02,53,0
3,2,2,1,17,19,51.65,15.24,11992.27,162,666.24,786.99,2,17,80,82,21,8,25,0,19,0
9,5,4,0.6,17,15,26.04,12,3749.74,65,208.32,312.48,6,14,32,33,16,12,26,28.57,15,0
27,14,26,0.57,71,110,59.32,36.56,79271.67,345,4403.98,2168.46,26,59,155,190,53,25,171,19.12,111,0
24,19,8,0.16,51,43,49.79,27.19,36801.7,216,2044.54,1353.63,8,34,90,126,48,29,55,10.42,43,0
35,18,30,0.17,81,66,68.92,17.87,22020.91,196,1223.38,1231.94,31,65,91,105,56,22,101,15.38,66,0
9,5,6,1,34,32,104.23,6.59,4519.95,121,251.11,686.36,6,31,54,67,41,10,46,11.11,32,1
7,4,6,1,19,17,76.51,5,1912.87,74,106.27,382.57,6,17,35,39,28,8,34,29.17,17,0
7,4,6,0.25,18,26,49.31,22.86,25777.05,195,1432.06,1127.37,6,16,94,101,37,18,49,38.1,26,0
15,8,4,0.88,22,11,17.7,12.6,2809.44,50,156.08,222.97,8,16,21,29,10,12,29,56,11,0
11,6,10,0.83,28,37,40.77,26.33,28263.16,181,1570.18,1073.46,10,24,87,94,38,23,53,17.78,37,0
3,2,2,1,7,9,21.51,3,193.59,18,10.75,64.53,2,7,6,12,6,6,10,0,9,0
3,2,2,1,14,9,38.84,8.35,2705.36,75,150.3,324.14,2,14,31,44,13,7,14,25,9,1
13,7,10,1,53,52,138.63,8.18,9298.52,193,516.58,1135.35,10,48,91,102,50,9,68,8.77,52,0
11,6,10,0.5,24,20,22.99,18.44,7817.84,82,434.32,423.93,10,20,33,49,17,19,33,28.57,20,0
9,5,2,0.4,14,9,20.85,5,521.24,25,28.96,104.25,5,11,10,15,9,9,27,59.09,9,0
25,15,14,1,74,56,65.75,18.88,23432.15,211,1301.79,1241.24,16,61,86,125,41,18,76,5.08,56,1
21,12,14,0.75,66,69,57.39,28,44996.99,258,2499.83,1607.04,15,56,119,139,51,24,88,6.76,69,0
5,3,4,1,14,24,51.32,12.79,8399.67,121,466.65,656.58,4,13,53,68,29,14,35,17.24,24,0
17,9,8,0.44,41,25,47.24,12.24,7077.77,111,393.21,578.25,12,34,51,60,25,12,45,24.24,25,0
7,4,4,1,28,24,79.28,6,2854.12,90,158.56,475.69,4,26,40,50,30,9,38,20,24,0
6,4,2,1,15,20,31.73,7.46,1767.82,51,98.21,236.84,2,13,19,32,14,11,24,0,20,0
35,18,26,0.61,85,71,57.99,24.52,34868.47,232,1937.14,1421.99,30,69,107,125,48,22,94,10.13,71,1
3,2,2,0.5,30,34,96.01,17.68,30006.37,276,1667.02,1697.33,2,30,132,144,56,15,56,17.07,34,0
3,2,2,0.5,6,9,13.02,7.5,732.54,25,40.7,97.67,2,6,10,15,6,9,17,30.77,9,0
13,7,6,0.86,27,28,60.63,12.22,9057.37,130,503.19,741.06,9,22,55,75,36,16,42,26.32,29,0
7,4,4,1,30,26,76.96,8,4925.18,108,273.62,615.65,4,28,48,60,39,13,41,18.75,26,0
7,4,4,1,34,34,123.03,6.07,4532.64,131,251.81,746.76,4,32,58,73,43,9,50,10.53,34,0
25,13,16,0.77,69,52,95.37,13.19,16603.31,206,922.41,1258.36,20,58,95,111,54,15,77,17.46,52,1
6,4,2,1,17,27,35.47,12.24,5313.4,80,295.19,434.1,2,15,34,46,25,18,34,6.9,27,0
9,5,4,0.6,16,18,21.66,18,7016.86,76,389.83,389.83,6,13,34,42,17,18,33,37.93,18,0
15,8,14,0.75,49,77,68.82,37.89,98831.96,408,5490.66,2608.07,14,43,160,248,57,27,109,14.44,77,0
3,2,2,1,7,5,10.24,4.9,245.93,14,13.66,50.19,2,7,7,7,5,7,10,28.57,5,0
13,7,10,1,31,39,93.84,6.44,3890.76,106,216.15,604.25,11,26,48,58,41,11,48,7.14,39,0
5,3,4,1,13,9,36.11,4.5,731.32,37,40.63,162.52,4,12,18,19,14,7,13,0,9,0
3,2,2,1,13,13,56.22,3.44,664.34,44,36.91,193.26,2,13,22,22,16,5,25,27.78,13,0
3,2,2,1,21,9,103.2,5.62,3260.81,109,181.16,580.09,2,21,53,56,33,7,27,64,25,0
5,3,4,0.33,12,18,27.93,10.5,3079.11,61,171.06,293.25,4,11,28,33,16,12,34,37.93,18,0
15,8,14,0.88,37,52,45.71,22.46,23055.47,176,1280.86,1026.58,14,31,77,99,36,21,89,26.76,52,0
31,16,16,0.5,75,66,74.18,20.79,32071.97,250,1781.78,1542.48,24,61,116,134,53,19,120,33.33,66,1
3,2,2,1,9,9,58.69,8.6,4341.04,105,241.17,504.77,2,9,43,62,20,8,23,47.06,9,0
11,7,6,1,36,47,48.3,28,37867.16,235,2103.73,1352.4,6,31,88,147,33,21,54,0,47,0
9,5,6,0.8,31,41,53.95,20.13,21852.33,179,1214.02,1085.83,7,28,77,102,44,23,50,2.38,41,0
3,2,2,1,8,14,44.39,4.76,1007.83,45,55.99,211.52,2,8,18,27,17,9,21,22.22,14,0
45,23,4,1,72,41,104.29,6.4,4271.56,123,237.31,667.43,23,51,56,67,35,8,54,14.58,42,0
21,11,2,0.09,24,14,44.3,8.75,3391.89,79,188.44,387.64,18,15,35,44,20,10,16,6.67,14,0
17,9,14,0.56,42,37,58.47,12.71,9443.41,131,524.63,743.09,16,35,61,70,36,15,52,11.9,37,0
8,6,2,0.33,20,21,28.09,21.86,13420.45,117,745.58,614.01,2,16,54,63,21,17,28,12.5,21,0
7,4,4,1,31,28,97.47,5.66,3119.36,101,173.3,551.4,4,29,44,57,35,9,41,15.15,28,0
5,3,4,1,17,26,56.24,6.87,2658.2,76,147.68,386.65,4,16,33,43,24,10,31,7.14,26,0
7,5,2,0.4,16,22,27.67,17.58,8545.97,92,474.78,486.26,2,13,37,55,20,19,27,0,22,0
9,5,6,0.4,18,16,16.51,22.88,8646.51,77,480.36,377.83,7,15,35,42,13,17,29,33.33,16,0
7,4,6,0.75,15,12,25.93,5.5,784.43,33,43.58,142.62,6,13,11,22,10,10,15,0,12,0
37,26,18,1,94,77,79.98,26.99,58239.35,327,3235.52,2158.17,19,70,133,194,69,28,118,16.3,77,1
9,5,8,0.6,19,19,16.09,18.42,5457.54,61,303.2,296.34,9,16,26,35,12,17,29,20.83,19,0
5,3,2,0.67,8,5,6.37,9,516.23,16,28.68,57.36,3,7,6,10,3,9,13,50,5,0
17,9,16,0.56,40,35,55.05,13.19,9577.07,133,532.06,726.1,16,33,51,82,29,15,54,22.22,35,0
11,6,10,0.83,27,28,43.07,17.52,13214.36,133,734.13,754.43,11,23,59,74,32,19,54,36.36,28,0
25,14,18,0.86,77,63,81.53,17.98,26360.63,240,1464.48,1466.05,19,65,110,130,52,17,107,22.22,63,1
15,8,14,0.25,32,43,72.3,5.69,2338.69,83,129.93,411.2,14,26,39,44,24,7,54,4.44,43,0
5,3,4,1,15,16,22.71,10.68,2589.55,51,143.86,242.5,4,14,23,28,14,13,22,11.11,16,0
7,4,4,1,30,28,101.03,5.96,3588,109,199.33,602.07,4,28,49,60,37,9,38,9.68,28,1
10,8,2,1,23,61,36.89,28.34,29630.1,164,1646.12,1045.51,2,17,74,90,47,36,93,25.61,61,1
5,3,6,1,19,26,63.77,9.82,6146.88,114,341.49,626.07,6,18,54,60,33,12,44,21.21,26,0
25,13,18,0.46,47,39,54.51,25,34070.5,228,1892.81,1362.82,21,36,100,128,42,21,55,18.75,39,0
