total_loc,comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_density,normalized_cyclomatic_complexity,defects
7,4,3,8,6,10,12,14,22,58,0.27,3.7,214.81,11.93,0,0,1,0.33,0,0,0.14,0
9,1,8,7,8,15,20,15,35,94,0.12,8.33,783.33,43.52,2,0,2,0.25,0,0,0.22,0
21,14,7,15,12,21,36,27,57,187,0.12,8.33,1558.33,86.57,8,4,4,0.57,1,0.25,0.19,0
30,11,19,16,18,50,70,34,120,423,0.04,25,10575,587.5,20,9,9,0.47,1.11,0.11,0.3,1
8,2,6,4,5,5,10,9,15,32,0.32,3.13,100,5.56,2,1,2,0.33,1,0.5,0.25,0
7,1,6,4,5,4,11,9,15,32,0.4,2.5,80,4.44,2,0,2,0.33,0,1,0.29,0
22,5,17,15,9,38,50,24,88,279,0.09,11.11,3100,172.22,16,8,5,0.29,1,0,0.23,0
32,10,22,19,9,26,46,28,72,239,0.16,6.25,1493.75,82.99,16,8,7,0.32,1,0.43,0.22,0
14,5,9,13,8,22,30,21,52,158,0.15,6.67,1053.33,58.52,4,2,2,0.22,1,1.5,0.14,0
9,1,8,8,8,10,18,16,28,77,0.2,5,385,21.39,4,2,3,0.38,1,0,0.33,0
3,0,3,3,4,3,5,7,8,15,0.5,2,30,1.67,0,0,1,0.33,0,0,0.33,0
8,0,8,7,7,8,14,14,22,58,0.25,4,232,12.89,4,2,2,0.25,1,0,0.25,0
7,1,6,8,7,10,16,15,26,70,0.23,4.35,304.35,16.91,2,1,2,0.33,1,0,0.29,0
45,16,29,22,11,40,65,33,105,367,0.1,10,3670,203.89,18,9,7,0.24,1,0.57,0.16,0
10,5,5,6,5,7,16,11,23,55,0.34,2.94,161.76,8.99,6,3,3,0.6,1,1,0.3,0
8,0,8,6,12,14,22,18,36,104,0.07,14.29,1485.71,82.54,2,0,2,0.25,0,0,0.25,0
10,1,9,9,11,17,29,20,46,137,0.1,10,1370,76.11,2,0,2,0.22,0,1.5,0.2,0
9,2,7,6,7,9,18,13,27,69,0.19,5.26,363.16,20.18,4,2,2,0.29,1,1,0.22,0
6,0,6,9,7,21,23,16,44,121,0.12,8.33,1008.33,56.02,0,0,1,0.17,0,4,0.17,1
6,0,6,9,9,22,32,18,54,156,0.09,11.11,1733.33,96.3,0,0,1,0.17,0,0,0.17,0
8,3,5,5,4,5,9,9,14,30,0.5,2,60,3.33,0,0,1,0.2,0,3,0.13,0
9,2,7,7,8,9,15,15,24,64,0.19,5.26,336.84,18.71,2,1,2,0.29,1,0,0.22,0
21,2,19,16,8,36,47,24,83,263,0.11,9.09,2390.91,132.83,8,4,5,0.26,1,0.8,0.24,0
7,0,7,8,4,8,11,12,19,47,0.5,2,94,5.22,0,0,1,0.14,0,1,0.14,0
6,0,6,7,4,7,9,11,16,38,0.5,2,76,4.22,0,0,1,0.17,0,0,0.17,0
13,0,13,12,9,25,30,21,55,167,0.11,9.09,1518.18,84.34,2,0,2,0.15,0,0,0.15,0
20,0,20,12,6,13,26,18,39,112,0.31,3.23,361.29,20.07,10,5,4,0.2,1,0,0.2,0
21,0,21,12,6,13,26,18,39,112,0.31,3.23,361.29,20.07,10,5,4,0.19,1,0,0.19,0
22,6,16,14,7,20,33,21,53,161,0.2,5,805,44.72,10,5,4,0.25,1,0,0.18,0
25,10,15,18,16,40,58,34,98,345,0.06,16.67,5750,319.44,14,6,7,0.47,1.17,0.14,0.28,0
33,14,19,17,17,45,62,34,107,377,0.04,25,9425,523.61,12,5,6,0.32,1.2,0.33,0.18,0
9,3,6,5,9,8,15,14,23,60,0.14,7.14,428.57,23.81,4,2,3,0.5,1,0,0.33,0
4,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,3.7,0,0,1,0.25,0,0,0.25,0
4,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,3.7,0,0,1,0.25,0,0,0.25,0
3,0,3,3,5,4,6,8,10,20,0.3,3.33,66.67,3.7,0,0,1,0.33,0,0,0.33,0
3,0,3,4,5,5,6,9,11,24,0.32,3.13,75,4.17,0,0,1,0.33,0,0,0.33,0
3,0,3,4,5,5,6,9,11,24,0.32,3.13,75,4.17,0,0,1,0.33,0,0,0.33,0
3,0,3,4,5,5,6,9,11,24,0.32,3.13,75,4.17,0,0,1,0.33,0,0,0.33,0
11,1,10,9,12,17,25,21,42,127,0.09,11.11,1411.11,78.4,4,1,3,0.3,2,0,0.27,1
35,29,6,31,7,35,40,38,75,272,0.25,4,1088,60.44,0,0,1,0.17,0,5,0.03,0
22,9,13,13,13,27,47,26,74,241,0.07,14.29,3442.86,191.27,12,5,6,0.46,1.2,0.17,0.27,0
10,2,8,8,11,14,24,19,38,111,0.1,10,1110,61.67,6,2,4,0.5,1.5,0,0.4,1
21,7,14,11,9,25,39,20,64,191,0.1,10,1910,106.11,10,5,4,0.29,1,0,0.19,1
21,5,16,17,11,40,50,28,90,299,0.08,12.5,3737.5,207.64,4,0,3,0.19,0,2,0.14,0
10,3,7,9,7,16,18,16,34,94,0.16,6.25,587.5,32.64,0,0,1,0.14,0,2,0.1,0
9,4,5,4,3,4,9,7,13,25,0.67,1.49,37.31,2.07,0,0,1,0.2,0,3,0.11,0
19,7,12,15,9,19,31,24,50,158,0.18,5.56,877.78,48.77,10,5,4,0.33,1,0.5,0.21,1
60,30,21,33,9,40,70,42,110,411,0.18,5.56,2283.33,126.85,10,4,5,0.24,1.25,3.8,0.08,0
10,0,10,7,8,16,21,15,37,100,0.11,9.09,909.09,50.51,2,0,2,0.2,0,0,0.2,0
19,4,14,10,8,15,27,18,42,121,0.17,5.88,711.76,39.54,4,1,3,0.21,2,1.67,0.16,0
36,5,27,15,7,41,59,22,100,309,0.1,10,3090,171.67,10,0,6,0.22,0,1.83,0.17,0
8,3,5,6,6,7,11,12,18,44,0.29,3.45,151.72,8.43,4,1,3,0.6,2,0.33,0.38,0
3,0,3,1,2,1,3,3,4,4,1,1,4,0.22,0,0,1,0.33,0,0,0.33,0
38,13,25,23,13,47,68,36,115,412,0.08,12.5,5150,286.11,10,3,5,0.2,1.67,1.8,0.13,0
54,19,35,40,13,79,112,53,191,758,0.08,12.5,9475,526.39,24,9,11,0.31,1.33,0.36,0.2,0
55,13,42,43,13,79,108,56,187,752,0.08,12.5,9400,522.22,20,8,7,0.17,1.25,0.43,0.13,0
14,8,4,15,5,19,22,20,41,122,0.32,3.13,381.25,21.18,0,0,1,0.25,0,5,0.07,0
72,23,49,47,15,109,158,62,267,1101,0.06,16.67,18350,1019.44,32,11,13,0.27,1.45,0.77,0.18,0
7,4,3,5,3,7,9,8,16,33,0.48,2.08,68.75,3.82,0,0,1,0.33,0,3,0.14,0
35,13,22,28,13,49,71,41,120,445,0.09,11.11,4944.44,274.69,14,4,6,0.27,1.75,0.67,0.17,0
37,13,24,33,15,56,79,48,135,522,0.08,12.5,6525,362.5,12,4,5,0.21,1.5,1.2,0.14,0
39,14,25,34,15,62,88,49,150,583,0.07,14.29,8328.57,462.7,14,4,6,0.24,1.75,1.17,0.15,0
13,9,4,7,4,15,17,11,32,76,0.23,4.35,330.43,18.36,0,0,1,0.25,0,4,0.08,0
12,4,8,9,8,13,22,17,35,99,0.17,5.88,582.35,32.35,2,0,2,0.25,0,1,0.17,0
4,0,4,4,6,6,7,10,13,29,0.22,4.55,131.82,7.32,0,0,1,0.25,0,0,0.25,0
4,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,3.7,0,0,1,0.25,0,0,0.25,0
27,10,17,15,9,36,48,24,84,266,0.09,11.11,2955.56,164.2,8,4,4,0.24,1,1.25,0.15,0
31,11,20,17,8,46,66,25,112,360,0.09,11.11,4000,222.22,8,0,5,0.25,0,2.4,0.16,0
8,0,8,6,3,7,13,9,20,43,0.57,1.75,75.44,4.19,0,0,1,0.13,0,5,0.13,0
10,7,3,7,3,7,15,10,22,50,0.67,1.49,74.63,4.15,0,0,1,0.33,0,6,0.1,0
79,26,48,34,10,70,110,44,180,681,0.1,10,6810,378.33,24,12,9,0.19,1,0.78,0.11,0
21,9,10,9,7,15,27,16,42,116,0.17,5.88,682.35,37.91,4,2,3,0.3,1,1,0.14,0
34,5,29,18,11,35,58,29,93,313,0.09,11.11,3477.78,193.21,22,11,10,0.34,1,0,0.29,0
6,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,7.07,4,2,2,0.33,1,0.5,0.33,0
26,3,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,88.03,16,8,6,0.26,1,0.17,0.23,0
58,8,50,26,15,66,108,41,174,646,0.05,20,12920,717.78,36,18,14,0.28,1,0.64,0.24,0
36,5,31,20,11,37,60,31,97,333,0.1,10,3330,185,26,13,12,0.39,1,0,0.33,0
6,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,7.07,4,2,2,0.33,1,0.5,0.33,0
26,3,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,88.03,16,8,6,0.26,1,0.17,0.23,0
60,8,52,26,16,71,114,42,185,691,0.05,20,13820,767.78,38,19,15,0.29,1,0.6,0.25,1
4,2,2,5,4,5,7,9,12,26,0.5,2,52,2.89,0,0,1,0.5,0,0,0.25,0
3,0,3,2,4,2,5,6,7,12,0.5,2,24,1.33,0,0,1,0.33,0,0,0.33,0
3,0,3,2,4,2,5,6,7,12,0.5,2,24,1.33,0,0,1,0.33,0,0,0.33,0
60,8,52,26,16,70,113,42,183,683,0.05,20,13660,758.89,38,19,15,0.29,1,0.6,0.25,0
48,7,41,22,11,51,84,33,135,472,0.08,12.5,5900,327.78,30,15,14,0.34,1,0,0.29,0
6,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,7.07,4,2,2,0.33,1,0.5,0.33,0
26,3,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,88.03,16,8,6,0.26,1,0.17,0.23,0
95,13,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,2240.74,76,38,28,0.34,1,0.46,0.29,1
32,5,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,180.86,18,9,8,0.3,1,0,0.25,0
6,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,7.07,4,2,2,0.33,1,0.5,0.33,0
26,3,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,88.03,16,8,6,0.26,1,0.17,0.23,0
34,6,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,221.53,20,10,8,0.29,1,0.5,0.24,0
38,5,33,22,11,39,62,33,101,353,0.1,10,3530,196.11,30,15,14,0.42,1,0,0.37,0
6,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,7.07,4,2,2,0.33,1,0.5,0.33,0
26,3,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,88.03,16,8,6,0.26,1,0.17,0.23,0
34,6,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,221.53,20,10,8,0.29,1,0.5,0.24,0
40,6,34,19,11,42,70,30,112,380,0.08,12.5,4750,263.89,24,12,11,0.32,1,0,0.28,0
3,0,3,2,4,2,5,6,7,12,0.5,2,24,1.33,0,0,1,0.33,0,0,0.33,0
4,0,4,3,5,4,7,8,11,22,0.3,3.33,73.33,4.07,0,0,1,0.25,0,0,0.25,0
95,13,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,2240.74,76,38,28,0.34,1,0.46,0.29,0
40,5,35,24,11,41,64,35,105,373,0.11,9.09,3390.91,188.38,34,17,16,0.46,1,0,0.4,0
6,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,7.07,4,2,2,0.33,1,0.5,0.33,0
26,3,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,88.03,16,8,6,0.26,1,0.17,0.23,0
34,6,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,221.53,20,10,8,0.29,1,0.5,0.24,0
12,3,9,11,15,22,32,26,54,175,0.07,14.29,2500,138.89,8,3,4,0.44,1.33,0,0.33,0
3,0,3,5,6,5,8,11,13,31,0.33,3.03,93.94,5.22,0,0,1,0.33,0,0,0.33,0
18,3,15,10,15,31,46,25,77,247,0.04,25,6175,343.06,12,5,6,0.4,1.2,0,0.33,0
8,0,8,7,7,8,14,14,22,58,0.25,4,232,12.89,4,2,2,0.25,1,0,0.25,0
2,0,2,1,2,1,3,3,4,4,1,1,4,0.22,0,0,1,0.5,0,0,0.5,0
2,0,2,1,2,1,3,3,4,4,1,1,4,0.22,0,0,1,0.5,0,0,0.5,0
2,0,2,1,2,1,3,3,4,4,1,1,4,0.22,0,0,1,0.5,0,0,0.5,0
4,0,4,2,5,3,7,7,10,19,0.27,3.7,70.37,3.91,2,1,2,0.5,1,0,0.5,0
2,0,2,1,2,1,3,3,4,4,1,1,4,0.22,0,0,1,0.5,0,0,0.5,0
2,0,2,1,2,1,3,3,4,4,1,1,4,0.22,0,0,1,0.5,0,0,0.5,0
2,0,2,1,2,1,3,3,4,4,1,1,4,0.22,0,0,1,0.5,0,0,0.5,0
2,0,2,1,2,1,3,3,4,4,1,1,4,0.22,0,0,1,0.5,0,0,0.5,0
32,5,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,180.86,18,9,8,0.3,1,0,0.25,0
6,0,6,3,5,5,11,8,16,33,0.24,4.17,137.5,7.64,4,2,3,0.5,1,0,0.5,0
6,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,7.07,4,2,2,0.33,1,0.5,0.33,0
27,3,24,16,9,26,44,25,70,225,0.14,7.14,1607.14,89.29,16,8,6,0.25,1,0.17,0.22,0
51,12,37,29,17,58,91,46,149,570,0.06,16.67,9500,527.78,34,17,14,0.38,1,0.29,0.27,1
